codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
dac,Q6,16000,20260826,0.0,440.0,440.0,440Hz_ongrid,0,439.99961581312147,146.67057727018206,440.0000035132745,440.000003527726,439.99961581312147,440.21260495691166,0.0,-1902.7451595148177,1,-1901.9073295999247,5.6860948578841166e-08,-1901.9073295999247,5.6860948578841166e-08,-1901.9088412310512,1.3880271181340563e-05
dac,Q6,16000,20260826,0.0,440.0,440.0,440Hz_ongrid,1,440.65239514497955,219.8541047235438,440.0000035152701,440.0000035206012,440.65239514497955,440.00302451919396,0.0,-1201.1603669258943,1,-1203.7134943273109,2.0975780472732702e-08,-1203.7134943273109,2.0975780472732702e-08,-1201.1484666244983,1.385223761181903e-05
dac,Q6,16000,20260826,0.0,440.0,440.0,440Hz_ongrid,2,440.26777444849876,440.0099675424157,440.00000352531737,440.000003521552,440.26777444849876,440.0099675424157,0.0,0.0,0,-1.0140529184502693,-1.4815206894906623e-08,-1.0140529184502693,-1.4815206894906623e-08,0.03921807582385309,1.3855978701397308e-05
dac,Q6,16000,20260826,0.0,440.0,440.0,440Hz_ongrid,3,219.88076958667511,439.99727229940663,440.0000035202026,440.00000351703187,440.17696745928333,439.99727229940663,-1201.6346679718317,0.0,1,1200.9277752465036,-1.2475680450622071e-08,1200.9277752465036,-1.2475680450622071e-08,-0.010732506319202308,1.3838193918275679e-05
dac,Q6,16000,20260826,0.0,440.0,440.0,440Hz_ongrid,4,439.992597115121,440.00450112714685,440.0000035272335,440.000003520913,439.992597115121,440.00450112714685,0.0,0.0,0,0.04683795203876387,-2.4868712497534435e-08,0.04683795203876387,-2.4868712497534435e-08,0.017710147086520026,1.3853464652297234e-05
dac,Q6,16000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,0,150.87845844813214,150.90333028048127,452.89290731052665,452.8929073030628,452.9036070448147,452.5048189762245,-1902.9806262120944,-1901.1702136055935,1,0.2853648876851412,-2.8531382224992745e-08,0.2853648876851412,-2.8531382224992745e-08,-1902.6543329251392,2.791677886936755e-05
dac,Q6,16000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,1,453.04574653544853,75.44731401152532,452.89290730504393,452.892907303639,453.04574653544853,453.3690149909956,0.0,-3104.573219309956,1,-3103.338346700383,-5.3706086021841165e-09,-3103.338346700383,-5.3706086021841165e-09,-3102.754172198118,2.791898116098488e-05
dac,Q6,16000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,2,150.95677100140423,75.43710564167749,452.8929073104879,452.8929073009673,452.9735586649418,452.92100044893675,-1902.3496437164058,-3103.0958457991896,1,-1200.947087654494,-3.6393551893453126e-08,-1200.947087654494,-3.6393551893453126e-08,-3102.9884320048445,2.790876850931832e-05
dac,Q6,16000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,3,75.51599239541287,150.99650417295598,452.89290731265834,452.89290731774383,453.8202357769662,452.83703480206844,-3104.720197713241,-1901.3721638568647,1,1199.5932486088889,1.9440057806821758e-08,1199.5932486088889,1.9440057806821758e-08,-1901.5857280314017,2.797289867228554e-05
dac,Q6,16000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,4,452.61046657562923,151.0310762954928,452.8929073048424,452.89290731594605,452.61046657562923,452.7307195876571,0.0,-1900.5693265833497,1,-1900.1094201672233,4.244476048972659e-08,-1900.1094201672233,4.244476048972659e-08,-1901.189390479362,2.796602655372352e-05
dac,Q6,16000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,0,440.0041189193767,441.2937261624795,440.00000352716347,441.2726081535047,440.0041189193767,441.2937261624795,0.0,0.0,0,5.066649317659593,4.9999919714799805,0.06664931765959281,-8.02852001946519e-06,0.08285563605498032,5.849537640568713e-06
dac,Q6,16000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,1,439.99284792324875,441.47618435193436,440.00000352457124,441.2726081414545,439.99284792324875,441.47618435193436,0.0,0.0,0,5.826648155693462,4.999991934403123,0.8266481556934622,-8.065596876605241e-06,0.7985072024509606,5.802261600521565e-06
dac,Q6,16000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,2,220.0394814056058,441.5569338596509,440.0000035225474,441.27260816195263,440.0089034291755,441.5569338596509,-1199.7243702758637,0.0,1,1205.8044737270345,4.999992022786178,1200.8044737270345,-7.977213821952489e-06,1.1151347325191074,5.882681572435478e-06
dac,Q6,16000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,3,109.97892040513558,220.67866571902965,440.0000035111329,441.2726081476151,439.9892368689539,441.8273892475943,-2400.2894434345317,-1201.842831160178,1,1205.6641595516583,4.999992011447706,1200.6641595516583,-7.988552294335705e-06,-1199.667633262074,5.826431453411673e-06
dac,Q6,16000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,4,220.0277644722567,441.31864787975104,440.0000035184883,441.2726081358709,441.9142776747202,441.31864787975104,-1207.2971519669863,0.0,1,1204.9621512934973,4.999991936431177,1199.9621512934973,-8.063568823324374e-06,0.1806229612866725,5.780355545065276e-06
dac,Q6,16000,20260826,5.0,452.8929,454.2027966407925,452.9Hz_+50c,0,150.8535682279388,453.9185748719841,452.89290731152937,454.2027990665442,452.66756520419517,453.9185748719841,-1902.3637388122547,0.0,1,1907.1416453156062,4.999981296823684,1902.1416453156062,-1.870317631613716e-05,-1.0836754538521083,9.245966476044966e-06
dac,Q6,16000,20260826,5.0,452.8929,454.2027966407925,452.9Hz_+50c,1,226.46862473564008,454.06644863548644,452.8929073023035,454.20279908814797,452.9241624664349,454.06644863548644,-1199.9499776277223,0.0,1,1204.3106969802852,4.999981414435093,1199.3106969802852,-1.8585564906636876e-05,-0.5197804776699594,9.32831157898027e-06
dac,Q6,16000,20260826,5.0,452.8929,454.2027966407925,452.9Hz_+50c,2,452.89675127585326,454.4665283966511,452.8929072967139,454.202799070456,452.89675127585326,454.4665283966511,0.0,0.0,0,5.9902232616473965,4.999981368367874,0.9902232616473965,-1.863163212600938e-05,1.0049451341704376,9.260877016832866e-06
dac,Q6,16000,20260826,5.0,452.8929,454.2027966407925,452.9Hz_+50c,3,150.92963092195012,454.01306345277175,452.8929073124006,454.2027990625987,452.6459948088675,454.01306345277175,-1901.4085456445434,0.0,1,1906.629289993241,4.999981278454675,1901.629289993241,-1.8721545324673627e-05,-0.7233358820316713,9.230927926334527e-06
dac,Q6,16000,20260826,5.0,452.8929,454.2027966407925,452.9Hz_+50c,4,226.48354169711953,227.091189629358,452.89290730427894,454.2027990676262,452.65536543571295,454.6664252962384,-1198.808208066142,-1201.8440846409408,1,4.638624450755287,4.999981328663479,-0.3613755492447126,-1.8671336521336457e-05,-1200.0778244030998,9.250090823578064e-06
dac,Q6,16000,20260826,10.0,440.0,442.5488940698555,440Hz_ongrid,0,220.12156935657984,442.7513014200389,440.00000352106923,442.5488913726648,440.47252516735296,442.7513014200389,-1200.901815796313,0.0,1,1209.835233745331,9.99997559461566,1199.835233745331,-2.4405384339232228e-05,0.7916286572839268,-1.0551305235584256e-05
dac,Q6,16000,20260826,10.0,440.0,442.5488940698555,440Hz_ongrid,1,440.2642173182598,221.3029926343971,440.0000035241933,442.5488913744577,440.2642173182598,443.0105705577626,0.0,-1201.5817949023938,1,-1190.815959340861,9.999975589337136,-1200.815959340861,-2.4410662863516563e-05,-1199.7766758565108,-1.0544291461348479e-05
