codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
encodec,6.0kbps,48000,20260826,0.0,440.0,440.0,440Hz_ongrid,0,439.99670464226654,439.99620976145695,439.9999989068371,439.99999892008736,439.99670464226654,439.99620976145695,0.0,0.0,0,-0.0019471850141921218,5.213461311526142e-08,-0.0019471850141921218,5.213461311526142e-08,-0.01491322336864606,-4.2490490096417356e-06
encodec,6.0kbps,48000,20260826,0.0,440.0,440.0,440Hz_ongrid,1,440.0405229223728,440.0024767399272,439.99999890820885,439.99999891367275,440.0405229223728,440.0024767399272,0.0,0.0,0,-0.14969006412904673,2.1498579678148885e-08,-0.14969006412904673,2.1498579678148885e-08,0.009745010056119207,-4.274287910168002e-06
encodec,6.0kbps,48000,20260826,0.0,440.0,440.0,440Hz_ongrid,2,439.9953979442453,440.0098309614879,439.99999891791623,439.9999989142531,439.9953979442453,440.0098309614879,0.0,0.0,0,0.05678814184890172,-1.4412920594554148e-08,0.05678814184890172,-1.4412920594554148e-08,0.03868069347602554,-4.272004507750446e-06
encodec,6.0kbps,48000,20260826,0.0,440.0,440.0,440Hz_ongrid,3,440.00801798513504,440.0114033529208,439.9999989135407,439.99999890809625,440.00801798513504,440.0114033529208,0.0,0.0,0,0.013319851442525335,-2.1421889647913573e-08,0.013319851442525335,-2.1421889647913573e-08,0.044867311436762924,-4.296229523786073e-06
encodec,6.0kbps,48000,20260826,0.0,440.0,440.0,440Hz_ongrid,4,439.99745795471233,439.99693196189395,439.9999989197209,439.9999989141899,439.99745795471233,439.99693196189395,0.0,0.0,0,-0.0020695965500802495,-2.1762285748213195e-08,-0.0020695965500802495,-2.1762285748213195e-08,-0.012071614888977632,-4.272253221784816e-06
encodec,6.0kbps,48000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,0,458.81814415053896,456.2365877712814,452.89290104618914,452.89290103894854,454.9867825984419,452.8993233270011,14.517370714588914,12.710116753807684,0,-9.768355934973513,-2.7677989404362595e-08,-9.768355934973513,-2.7677989404362595e-08,12.734670469607888,3.971497592591462e-06
encodec,6.0kbps,48000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,1,455.1477611256143,454.3453646807642,452.892901041944,452.8929010404135,453.36280343878207,453.38656886549256,6.80274642967499,3.657248395610817,0,-3.0547485564731516,-5.850545960987222e-09,-3.0547485564731516,-5.850545960987222e-09,5.543325401208501,3.977097694655515e-06
encodec,6.0kbps,48000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,2,454.20611560825967,457.56810422536427,452.89290104697915,452.8929010380799,453.1852030658846,453.4468396047922,3.8956495701157405,15.663677872247954,0,12.767229909603055,-3.401827520935613e-08,12.767229909603055,-3.401827520935613e-08,17.779880400829192,3.968177048822282e-06
encodec,6.0kbps,48000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,3,456.27504844509906,454.8058963974487,452.892901048883,452.89290105348323,453.73761591576573,452.9012097071291,9.654593059693727,7.265478629767623,0,-5.583363952685842,1.75848894499523e-08,-5.583363952685842,1.75848894499523e-08,7.297243128489552,4.027058078019399e-06
encodec,6.0kbps,48000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,4,458.0233384058658,454.63307582882715,452.8929010423039,452.89290105202736,453.90686499897976,452.7768549392413,15.629764871770536,7.0829228998881035,0,-12.86215691819911,3.716910144924518e-08,-12.86215691819911,3.716910144924518e-08,6.639270761974996,4.021492957372848e-06
encodec,6.0kbps,48000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,0,440.0022148998253,441.28812672051,439.99999891895817,441.2726035504195,440.0022148998253,441.28812672051,0.0,0.0,0,5.0521736205061005,4.999992043857853,0.052173620506100526,-7.956142146881007e-06,0.060888394009569004,-1.2209633936365454e-05
encodec,6.0kbps,48000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,1,440.02326366511386,441.2735676408239,439.9999989170341,441.2726035388778,440.02326366511386,441.2735676408239,0.0,0.0,0,4.912238850245704,4.999992006147014,-0.08776114975429561,-7.993852985777039e-06,0.003770178617186902,-1.225491526727624e-05
encodec,6.0kbps,48000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,2,440.0071907907226,441.2920951690216,439.99999891456434,441.27260355891605,440.0071907907226,441.2920951690216,0.0,0.0,0,5.048164275419929,4.999992094480239,0.0481642754199294,-7.905519760598168e-06,0.07645709363608959,-1.2176299720617286e-05
encodec,6.0kbps,48000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,3,439.99186851385184,441.25171553943585,439.999998904286,441.27260354418036,439.99186851385184,441.25171553943585,0.0,0.0,0,4.950031053159034,4.9999920771097335,-0.04996894684096631,-7.92289026652071e-06,-0.08196357359454558,-1.223411189507068e-05
encodec,6.0kbps,48000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,4,439.99743349513705,441.275953027558,439.99999891204385,441.27260353124024,439.99743349513705,441.275953027558,0.0,0.0,0,5.023226920605087,4.999991995817776,0.023226920605086576,-8.004182223686485e-06,0.013128662503825711,-1.2284879542388523e-05
encodec,6.0kbps,48000,20260826,5.0,452.8929,454.2027966407925,452.9Hz_+50c,0,457.03612237892867,458.4514747448379,452.8929010466533,454.2027959719516,454.08549822365944,455.44089743928424,11.213077915881245,11.406228897537092,0,5.3530122465576815,4.999993449703937,0.3530122465576815,-6.550296062890482e-06,16.118939151202817,-2.5493459488662044e-06
encodec,6.0kbps,48000,20260826,5.0,452.8929,454.2027966407925,452.9Hz_+50c,1,456.49483139931203,457.40432127824823,452.8929010389323,454.20279599503596,453.21856985798956,455.0631677608502,12.469861494021526,8.88380928849808,0,3.4457639245587566,4.999993567206488,-1.5542360754412434,-6.432793512090029e-06,12.160087694887743,-2.4613580736438896e-06
encodec,6.0kbps,48000,20260826,5.0,452.8929,454.2027966407925,452.9Hz_+50c,2,453.44393866793746,458.0052856708688,452.8929010342589,454.2027959772243,452.7983842117436,455.4758944909044,2.466461819117751,9.58745384291573,0,17.328063826300014,4.9999935171805205,12.328063826300014,-6.4828194794586125e-06,14.433190708777802,-2.5292487401168034e-06
encodec,6.0kbps,48000,20260826,5.0,452.8929,454.2027966407925,452.9Hz_+50c,3,457.8121082610536,459.0740780798068,452.89290104853603,454.2027959689419,453.2363172009294,455.5085214650671,17.390583586902036,13.498713602796807,0,4.765622017782636,4.999993431035569,-0.23437798221736372,-6.5689644310751305e-06,18.468459019460184,-2.5608177395359467e-06
encodec,6.0kbps,48000,20260826,5.0,452.8929,454.2027966407925,452.9Hz_+50c,4,456.10973826643465,457.91595082440944,452.892901041846,454.20279597358666,453.6676692373254,455.14897525134893,9.294148596259332,10.492785019153791,0,6.842216335555934,4.999993474312729,1.8422163355559338,-6.525687271441427e-06,14.095477110083038,-2.5431138747994564e-06
encodec,6.0kbps,48000,20260826,10.0,440.0,442.5488940698555,440Hz_ongrid,0,439.99712156699536,442.54791392922255,439.999998913652,442.5488917547465,439.99712156699536,442.54791392922255,0.0,0.0,0,10.007491309031359,9.999995217753007,0.0074913090313586395,-4.782246993073613e-06,-0.0038342762539573653,-9.056616532648943e-06
encodec,6.0kbps,48000,20260826,10.0,440.0,442.5488940698555,440Hz_ongrid,1,439.9906085861192,442.54728260255064,439.99999891608013,442.54889175823564,439.9906085861192,442.54728260255064,0.0,0.0,0,10.030648057046198,9.999995221849014,0.030648057046198218,-4.778150985984553e-06,-0.006304008853875885,-9.042967052587488e-06
encodec,6.0kbps,48000,20260826,10.0,440.0,442.5488940698555,440Hz_ongrid,2,440.00222441337735,442.5581398684747,439.99999891248484,442.5488917570578,440.00222441337735,442.5581398684747,0.0,0.0,0,10.027416620965743,9.999995231387127,0.027416620965743377,-4.76861287346253e-06,0.03616882651953732,-9.04757479722612e-06
encodec,6.0kbps,48000,20260826,10.0,440.0,442.5488940698555,440Hz_ongrid,3,439.9963287950294,442.5538757603998,439.99999890994167,442.54889175536886,439.9963287950294,442.5538757603998,0.0,0.0,0,10.03393293701427,9.99999523478677,0.03393293701427069,-4.765213230228937e-06,0.01948806982940198,-9.05418186442478e-06
encodec,6.0kbps,48000,20260826,10.0,440.0,442.5488940698555,440Hz_ongrid,4,440.0258917595541,442.5444530832635,439.9999989077787,442.548891761589,440.0258917595541,442.5444530832635,0.0,0.0,0,9.880755634927503,9.999995267630116,-0.1192443650724968,-4.732369884408172e-06,-0.017373053869200007,-9.029848828780305e-06
encodec,6.0kbps,48000,20260826,10.0,452.8929,455.5164818797492,452.9Hz_+50c,0,456.7396823094181,458.93564720607554,452.89290104240536,455.5164804868675,453.213366708022,456.9234637451079,13.418072952740356,7.607209633040725,0,8.303677876763865,9.999990721507926,-1.6963221232361345,-9.27849207421616e-06,12.946337657864673,-5.293780383948762e-06
encodec,6.0kbps,48000,20260826,10.0,452.8929,455.5164818797492,452.9Hz_+50c,1,456.90305309841636,457.3671200878368,452.89290103765245,455.51648048387807,453.3944045024273,456.2436528489204,13.345795807302968,4.257799437170188,0,1.7574862785454908,9.999990728314474,-8.24251372145451,-9.271685526002216e-06,7.019278822574438,-5.305142040833152e-06
encodec,6.0kbps,48000,20260826,10.0,452.8929,455.5164818797492,452.9Hz_+50c,2,454.75195771909574,459.5421594631701,452.8929010395003,455.51648048140606,453.11604036779505,457.33103328820505,6.239142455305042,8.350084552740869,0,18.140850052681234,9.999990711855919,8.140850052681234,-9.288144081409655e-06,15.232761598989343,-5.314537242317946e-06
encodec,6.0kbps,48000,20260826,10.0,452.8929,455.5164818797492,452.9Hz_+50c,3,456.01165003750225,459.94562764156836,452.892901042307,455.51648048265963,453.9131504402585,457.21479456469865,7.985276132199617,10.309483622847404,0,14.87116925704111,9.999990705891351,4.87116925704111,-9.294108648916222e-06,16.752081165348255,-5.309772850132733e-06
encodec,6.0kbps,48000,20260826,10.0,452.8929,455.5164818797492,452.9Hz_+50c,4,458.5783744602708,459.59944661985594,452.8929010393304,455.5164804878705,454.6901079783105,459.1462611779181,14.741645262587062,1.7079157477342046,0,3.850486425061578,9.99999073707405,-6.149513574938422,-9.262925949826695e-06,15.44856616207471,-5.289968370466101e-06
encodec,6.0kbps,48000,20260826,15.0,440.0,443.82887286777554,440Hz_ongrid,0,440.0125237680197,443.7807177855655,439.9999989132722,443.8288707490102,440.0125237680197,443.7807177855655,0.0,0.0,0,14.762876679587235,14.999996011240095,-0.23712332041276518,-3.988759905482198e-06,-0.1878477179997066,-8.264623976074861e-06
encodec,6.0kbps,48000,20260826,15.0,440.0,443.82887286777554,440Hz_ongrid,1,440.00150651905483,443.78096252065234,439.99999891587186,443.8288707727119,440.00150651905483,443.78096252065234,0.0,0.0,0,14.80717944425325,14.999996093464368,-0.19282055574674928,-3.906535631870156e-06,-0.1868929816140995,-8.172171164679975e-06
encodec,6.0kbps,48000,20260826,15.0,440.0,443.82887286777554,440Hz_ongrid,2,440.0022318721854,443.8256849779862,439.99999891267925,443.8288707488259,440.0022318721854,443.8256849779862,0.0,0.0,0,14.978783466973006,14.999996012854412,-0.021216533026994,-3.9871455879136875e-06,-0.012434980025040935,-8.265342632780158e-06
encodec,6.0kbps,48000,20260826,15.0,440.0,443.82887286777554,440Hz_ongrid,3,440.0003287149476,443.797566102731,439.99999891126447,443.82887077007905,440.0003287149476,443.797566102731,0.0,0.0,0,14.876584677009603,14.999996101322544,-0.1234153229903967,-3.898677455538291e-06,-0.12212195413312388,-8.182441093825594e-06
encodec,6.0kbps,48000,20260826,15.0,440.0,443.82887286777554,440Hz_ongrid,4,440.0017253948809,443.65652457246233,439.9999989044817,443.82887075777575,440.0017253948809,443.65652457246233,0.0,0.0,0,14.32080526265424,14.99999608001896,-0.6791947373457603,-3.919981040212406e-06,-0.6724059725520186,-8.230432331260565e-06
encodec,6.0kbps,48000,20260826,15.0,452.8929,456.8339666745868,452.9Hz_+50c,0,456.9052377367057,460.86786815736133,452.8929010410076,456.83396391874516,453.4768703153666,460.86786815736133,13.039215990273458,0.0,0,14.949846088215887,14.999985576996998,-0.05015391178411299,-1.4423003001695633e-05,15.219916342634212,-1.0443634354163419e-05
