codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
mimi,Q8,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,0,439.79805536095057,440.0424267517297,439.99999890643517,439.9999989203443,439.79805536095057,440.0424267517297,0.0,0.0,0,0.9616836047311597,5.472708211618874e-08,0.9616836047311597,5.472708211618874e-08,0.1669252186255734,-4.248038008234651e-06
mimi,Q8,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,1,439.6525499639631,440.00514079021093,439.99999890817907,439.99999891358925,439.6525499639631,440.00514079021093,0.0,0.0,0,1.3878518494072607,2.1287153528899714e-08,1.3878518494072607,2.1287153528899714e-08,0.020226952411607674,-4.274616581728104e-06
mimi,Q8,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,2,440.11627556549513,439.8487799509856,439.99999891806067,439.9999989143099,440.11627556549513,439.8487799509856,0.0,0.0,0,-1.0525361823772357,-1.4757737423427693e-08,-1.0525361823772357,-1.4757737423427693e-08,-0.5950961262858829,-4.271780972648458e-06
mimi,Q8,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,3,439.3038321711736,440.20956122206155,439.9999989132737,439.9999989089345,439.3038321711736,440.20956122206155,0.0,0.0,0,3.5656751522030725,-1.7073045963346246e-08,3.5656751522030725,-1.7073045963346246e-08,0.82434807762862,-4.292931275849563e-06
mimi,Q8,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,4,440.04688877114586,439.9600682636686,439.9999989199129,439.9999989139952,440.04688877114586,439.9600682636686,0.0,0.0,0,-0.34160325208347725,-2.3283785200484923e-08,-0.34160325208347725,-2.3283785200484923e-08,-0.15712345165666122,-4.273019161063769e-06
mimi,Q8,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,0,451.4205994681037,452.89222893207966,452.8929010465134,452.8929010391853,451.4205994681037,452.89222893207966,0.0,0.0,0,5.634637051808388,-2.8012427131366254e-08,5.634637051808388,-2.8012427131366254e-08,-0.002565234503871339,3.972402496508183e-06
mimi,Q8,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,1,451.8359979732188,452.6155082261968,452.8929010416567,452.8929010401568,451.8359979732188,452.6155082261968,0.0,0.0,0,2.984162260647549,-5.733684962127663e-09,2.984162260647549,-5.733684962127663e-09,-1.060686117099522,3.9761162929140605e-06
mimi,Q8,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,2,452.4214524406275,452.2677980158788,452.8929010469178,452.8929010376845,452.4214524406275,452.2677980158788,0.0,0.0,0,-0.5880732513143088,-3.529528915086247e-08,-0.5880732513143088,-3.529528915086247e-08,-2.3911732214281045,3.966665928475366e-06
mimi,Q8,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,3,453.4015119496976,452.43735568810087,452.89290104897003,452.8929010538118,453.4015119496976,452.43735568810087,0.0,0.0,0,-3.6853812276578353,1.8508245105402287e-08,-3.6853812276578353,1.8508245105402287e-08,-1.742245738995932,4.028313949343033e-06
mimi,Q8,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,4,450.7102603647576,451.978787952804,452.8929010417582,452.89290105219743,450.7102603647576,451.978787952804,0.0,0.0,0,4.865727799254919,3.990534023168282e-08,4.865727799254919,3.990534023168282e-08,-3.497827283537157,4.022142996677492e-06
mimi,Q8,24000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,0,440.15813061253976,440.8665276726982,439.9999989194952,441.2726035505878,440.15813061253976,440.8665276726982,0.0,0.0,0,2.784034166505842,4.999992042405136,-2.215965833494158,-7.957594863938766e-06,-1.5938932898172982,-1.2208973710158361e-05
mimi,Q8,24000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,1,439.72178663740516,441.09464990251547,439.99999891724445,441.2726035387518,439.72178663740516,441.09464990251547,0.0,0.0,0,5.396696644839722,4.999992004825387,0.39669664483972156,-7.995174613029121e-06,-0.6983142315605827,-1.2255409620057808e-05
mimi,Q8,24000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,2,440.00632936668234,440.10702594597524,439.99999891499056,441.2726035591435,440.00632936668234,440.10702594597524,0.0,0.0,0,0.3961520329281137,4.999992093695618,-4.603847967071887,-7.906304381855023e-06,-4.578944475485628,-1.2175407502261169e-05
mimi,Q8,24000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,3,439.4010477218188,440.90046829245966,439.9999989041002,441.2726035445015,439.4010477218188,440.90046829245966,0.0,0.0,0,5.897639408635421,4.999992079100606,0.8976394086354214,-7.920899394164849e-06,-1.4606173634664197,-1.2232851795212234e-05
