codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
speechtokenizer,Q8,16000,20260826,0.0,440.0,440.0,440Hz_ongrid,0,429.9074227494063,431.5960538069045,440.0000035132745,440.000003527726,447.0795224953083,447.0839539736688,-67.80653746298522,-61.03691272431986,0,6.786784746711695,5.6860948578841166e-08,6.786784746711695,5.6860948578841166e-08,-33.38621975209482,1.3880271181340563e-05
speechtokenizer,Q8,16000,20260826,0.0,440.0,440.0,440Hz_ongrid,1,436.6715294808417,433.3201126507433,440.0000035152701,440.0000035206012,448.70498885107855,446.64417940915473,-47.06250295609543,-52.431311912879195,0,-13.338324987669163,2.0975780472732702e-08,-13.338324987669163,2.0975780472732702e-08,-26.484387084479685,1.385223761181903e-05
speechtokenizer,Q8,16000,20260826,0.0,440.0,440.0,440Hz_ongrid,2,433.3267147299415,432.5679327803849,440.00000352531737,440.000003521552,446.45045339958125,444.3987027642814,-51.65387219525159,-46.71346356823264,0,-3.034155452771143,-1.4815206894906623e-08,-3.034155452771143,-1.4815206894906623e-08,-29.4921656004372,1.3855978701397308e-05
speechtokenizer,Q8,16000,20260826,0.0,440.0,440.0,440Hz_ongrid,3,435.36213328272606,443.00775936845173,440.0000035202026,440.00000351703187,448.61452075562255,444.0914296199566,-51.912464861985406,-4.229713641652637,0,30.139244567606855,-1.2475680450622071e-08,30.139244567606855,-1.2475680450622071e-08,11.794133208482235,1.3838193918275679e-05
speechtokenizer,Q8,16000,20260826,0.0,440.0,440.0,440Hz_ongrid,4,441.47832745950717,437.3624298395478,440.0000035272335,440.000003520913,446.53525467042925,445.1953104855953,-19.717759694249512,-30.730920200259007,0,-16.215984841546526,-2.4868712497534435e-08,-16.215984841546526,-2.4868712497534435e-08,-10.409073535030824,1.3853464652297234e-05
speechtokenizer,Q8,16000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,0,446.4664506186293,445.75827163884344,452.89290731052665,452.8929073030628,447.2897225660074,446.1257935225591,-3.189408639219045,-1.4267917989189423,0,-2.7482399658237155,-2.8531382224992745e-08,-2.7482399658237155,-2.8531382224992745e-08,-27.490023856213927,2.791677886936755e-05
speechtokenizer,Q8,16000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,1,445.2800302844686,445.78396281375535,452.89290730504393,452.892907303639,446.31683514750796,445.78396281375535,-4.02637730077116,0.0,0,1.9581651888122844,-5.3706086021841165e-09,1.9581651888122844,-5.3706086021841165e-09,-27.39024745738141,2.791898116098488e-05
speechtokenizer,Q8,16000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,2,90.10530673053597,444.6498844431843,452.8929073104879,452.8929073009673,446.62811003474707,445.01942866951606,-2771.2680888294894,-1.4382143446470672,1,2763.582995859712,-3.6393551893453126e-08,2763.582995859712,-3.6393551893453126e-08,-31.800134069600514,2.790876850931832e-05
speechtokenizer,Q8,16000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,3,149.99702422472294,445.96345435654064,452.89290731265834,452.89290731774383,445.4594650638356,446.4853338086839,-1884.4323348180324,-2.0247561362087794,1,1886.3899320434457,1.9440057806821758e-08,1886.3899320434457,1.9440057806821758e-08,-26.69331945152995,2.797289867228554e-05
speechtokenizer,Q8,16000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,4,445.6357936225035,443.6944742325951,452.8929073048424,452.89290731594605,446.73529399668706,444.39779018524825,-4.266147736939526,-2.7420682012837143,0,-7.558234972255318,4.244476048972659e-08,-7.558234972255318,4.244476048972659e-08,-35.52400378066825,2.796602655372352e-05
speechtokenizer,Q8,16000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,0,430.9580001092618,433.66962466763516,440.00000352716347,441.2726081535047,443.5197407452816,448.13111625635116,-49.74125267773615,-56.78940923390301,0,10.858945562786932,4.9999919714799805,5.858945562786932,-8.02852001946519e-06,-30.08855248359615,5.849537640568713e-06
speechtokenizer,Q8,16000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,1,434.7803148290036,445.0484495776489,440.00000352457124,441.2726081414545,446.85127759159496,445.6169310575069,-47.40975231415204,-2.2099761576850194,0,40.410935299106605,4.999991934403123,35.410935299106605,-8.065596876605241e-06,14.750653430238383,5.802261600521565e-06
speechtokenizer,Q8,16000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,2,428.1529439031722,445.74183572382975,440.0000035225474,441.27260816195263,448.19256584806266,446.5319391294346,-79.19096868985808,-3.065996814270031,0,69.69855390381514,4.999992022786178,64.69855390381514,-7.977213821952489e-06,17.445819661100238,5.882681572435478e-06
speechtokenizer,Q8,16000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,3,433.53242273173765,445.0026308879536,440.0000035111329,441.2726081476151,446.77280167072365,445.69107745436736,-52.081761962195664,-2.6762564121092662,0,45.208767158918015,4.999992011447706,40.208767158918015,-7.988552294335705e-06,14.572410006922329,5.826431453411673e-06
speechtokenizer,Q8,16000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,4,437.1724941052989,437.41066315505714,440.0000035184883,441.2726081358709,446.412431475513,445.05662688632043,-36.20948448607413,-30.00062245275306,0,0.9429094881262442,4.999991936431177,-4.0570905118737555,-8.063568823324374e-06,-15.218159665222855,5.780355545065276e-06
speechtokenizer,Q8,16000,20260826,5.0,452.8929,454.2027966407925,452.9Hz_+50c,0,445.85528391924385,444.5606679803752,452.89290731152937,454.2027990665442,446.21098558022356,445.04301017198236,-1.380621329353229,-1.877346795541957,0,-5.034242183957732,4.999981296823684,-10.034242183957732,-1.870317631613716e-05,-37.14753115851215,9.245966476044966e-06
speechtokenizer,Q8,16000,20260826,5.0,452.8929,454.2027966407925,452.9Hz_+50c,1,446.205997602815,438.49567255317925,452.8929073023035,454.20279908814797,446.76715339960697,445.6326705090677,-2.175859708723595,-27.95087920684247,0,-30.176760542041766,4.999981414435093,-35.17676054204176,-1.8585564906636876e-05,-60.92878092590324,9.32831157898027e-06
speechtokenizer,Q8,16000,20260826,5.0,452.8929,454.2027966407925,452.9Hz_+50c,2,445.1105289121614,444.21838753038094,452.8929072967139,454.202799070456,445.1105289121614,445.16138403303415,0.0,-3.6712061990069236,0,-3.4734191731783968,4.999981368367874,-8.473419173178396,-1.863163212600938e-05,-38.4809730189628,9.260877016832866e-06
speechtokenizer,Q8,16000,20260826,5.0,452.8929,454.2027966407925,452.9Hz_+50c,3,444.0029740777332,443.9343226539542,452.8929073124006,454.2027990625987,447.31521843632726,444.31951611833085,-12.86700228197696,-1.5015079106903464,0,-0.2677028727983606,4.999981278454675,-5.267702872798361,-1.8721545324673627e-05,-39.58840149909656,9.230927926334527e-06
speechtokenizer,Q8,16000,20260826,5.0,452.8929,454.2027966407925,452.9Hz_+50c,4,446.7849901652006,445.5220782037355,452.89290730427894,454.2027990676262,447.16988285791064,445.5220782037355,-1.4907673667622992,0.0,0,-4.900549880361558,4.999981328663479,-9.900549880361558,-1.8671336521336457e-05,-33.407594016196235,9.250090823578064e-06
speechtokenizer,Q8,16000,20260826,10.0,440.0,442.5488940698555,440Hz_ongrid,0,438.3080038274972,446.60842453117687,440.00000352106923,442.5488913726648,448.80893225545134,447.281393279767,-40.98763819609571,-2.606734316509088,0,32.47853004023993,9.99997559461566,22.47853004023993,-2.4405384339232228e-05,15.808330074943266,-1.0551305235584256e-05
speechtokenizer,Q8,16000,20260826,10.0,440.0,442.5488940698555,440Hz_ongrid,1,446.267580395956,443.7217660101783,440.0000035241933,442.5488913744577,446.9116781147787,445.02145839692065,-2.496887571936767,-5.063494731544349,0,-9.90441646575686,9.999975589337136,-19.90441646575686,-2.4410662863516563e-05,4.582160089715184,-1.0544291461348479e-05
speechtokenizer,Q8,16000,20260826,10.0,440.0,442.5488940698555,440Hz_ongrid,2,430.74063070668643,434.45434660518794,440.0000035197675,442.54889137505785,444.5547801986159,448.1089318551423,-54.650148019044906,-53.57387944365741,0,14.862201159554711,9.99997560909864,4.862201159554711,-2.4390901360860084e-05,-31.95872828265036,-1.0541943670049535e-05
speechtokenizer,Q8,16000,20260826,10.0,440.0,442.5488940698555,440Hz_ongrid,3,429.4567217359225,447.7093101955683,440.0000035166716,442.5488913732224,446.86130209457264,447.7093101955683,-68.77723412884244,0.0,0,72.05948131628224,9.999975614099688,62.059481316282245,-2.4385900312395847e-05,20.070555087348545,-1.0549123894327454e-05
speechtokenizer,Q8,16000,20260826,10.0,440.0,442.5488940698555,440Hz_ongrid,4,440.46145744300884,445.44440538819316,440.0000035138567,442.5488913788569,447.6520946090202,447.3316519530648,-28.034586112290675,-7.319350361035429,0,19.475523270218005,9.999975647217454,9.475523270218005,-2.4352782546088747e-05,11.290232827184523,-1.0527081757105832e-05
speechtokenizer,Q8,16000,20260826,10.0,452.8929,455.5164818797492,452.9Hz_+50c,0,445.1012921547035,445.19525280106905,452.8929073057805,455.51647755793266,446.1977815587735,445.738770448441,-4.259582006510779,-2.1122919308830057,0,0.36542401918980866,9.999955647354275,-9.634575980810192,-4.435264572499875e-05,-39.67805608287689,-1.6425478114507335e-05
speechtokenizer,Q8,16000,20260826,10.0,452.8929,455.5164818797492,452.9Hz_+50c,1,149.96500965423647,447.8451063294903,452.8929073003701,455.5164775529386,448.0326070060528,447.8451063294903,-1894.773368850489,0.0,1,1894.0486995002066,9.999955649055815,1884.0486995002066,-4.435094418475671e-05,-29.404096860071764,-1.6444458416722626e-05
speechtokenizer,Q8,16000,20260826,10.0,452.8929,455.5164818797492,452.9Hz_+50c,2,446.40687787553406,442.6616473169634,452.8929073025267,455.5164775521661,447.0749200859829,442.9197361990511,-2.5888331224994614,-1.0090823527289914,0,-14.585847624382096,9.999955637876168,-24.585847624382097,-4.436212383218674e-05,-49.5586482964466,-1.6447394357141262e-05
speechtokenizer,Q8,16000,20260826,10.0,452.8929,455.5164818797492,452.9Hz_+50c,3,447.5825608071141,446.21028829646593,452.89290730508964,455.51647755330174,447.5825608071141,446.88979076029074,0.0,-2.6343700025894803,0,-5.316056766731401,9.999955632395078,-15.3160567667314,-4.43676049215469e-05,-35.73537300738471,-1.6443078380571674e-05
speechtokenizer,Q8,16000,20260826,10.0,452.8929,455.5164818797492,452.9Hz_+50c,4,443.23984055936586,449.1146688303543,452.89290730153084,455.5164775583692,444.06260172638696,449.1146688303543,-3.2106133984368594,0.0,0,22.795536020060776,9.9999556652583,12.795536020060776,-4.433474170006946e-05,-24.50329448848263,-1.642381899583674e-05
speechtokenizer,Q8,16000,20260826,15.0,440.0,443.82887286777554,440Hz_ongrid,0,434.3230670647113,445.92856499858846,440.00000351975183,443.8288662839111,445.12706967003976,446.5481351522041,-42.538394002211646,-2.4036955090356096,0,45.652849089381284,14.999960469560717,30.652849089381284,-3.953043928284217e-05,8.170912885869358,-2.5681543209515665e-05
speechtokenizer,Q8,16000,20260826,15.0,440.0,443.82887286777554,440Hz_ongrid,1,431.35352001100495,444.0447531901392,440.0000035237109,443.82886630875123,449.030628599402,444.45562811139433,-69.53175154285321,-1.6011714102974162,0,50.2012288839296,14.99996055087684,35.2012288839296,-3.944912315922977e-05,0.8418751520388306,-2.558464987137398e-05
speechtokenizer,Q8,16000,20260826,15.0,440.0,443.82887286777554,440Hz_ongrid,2,447.67474946654534,444.81339084028787,440.0000035195464,443.8288662843356,447.67474946654534,445.87132921536545,0.0,-4.112655705963191,0,-11.100872334944949,14.999960472024874,-26.10087233494495,-3.952797512596362e-05,3.8360357207659956,-2.5679887358331284e-05
speechtokenizer,Q8,16000,20260826,15.0,440.0,443.82887286777554,440Hz_ongrid,3,446.5232669665415,446.72502633583895,440.00000351804005,443.8288663054795,446.8345752608285,446.72502633583895,-1.2065658690538819,0.0,0,0.7820730213649268,14.999960560427462,-14.217926978635074,-3.9439572537602885e-05,11.260266617483408,-2.5597411938342645e-05
speechtokenizer,Q8,16000,20260826,15.0,440.0,443.82887286777554,440Hz_ongrid,4,440.25459905948003,446.8958685515333,440.0000035116512,443.82886629257507,447.53250906768915,446.8958685515333,-28.38529138396223,0.0,0,25.920758834911226,14.999960535229086,10.920758834911226,-3.9464770914321434e-05,11.922220397041349,-2.5647747892290314e-05
speechtokenizer,Q8,16000,20260826,15.0,452.8929,456.8339666745868,452.9Hz_+50c,0,444.47761376632667,445.9678148392016,452.8929073033112,456.83397135858866,445.57599167468067,446.3581749739083,-4.272889154880352,-1.514703835657039,0,5.794603830814806,14.99998983292957,-9.205396169185194,-1.0167070430000535e-05,-41.67639210227378,1.775065783915652e-05
speechtokenizer,Q8,16000,20260826,15.0,452.8929,456.8339666745868,452.9Hz_+50c,1,445.66720962229016,444.93336659063925,452.8929073122377,456.8339713708401,446.6654067864766,445.5583193908038,-3.873249968385261,-2.4299828091984375,0,-2.8530283148781788,14.999989845235504,-17.85302831487818,-1.0154764495950985e-05,-45.69675456685281,1.7797086636644364e-05
speechtokenizer,Q8,16000,20260826,15.0,452.8929,456.8339666745868,452.9Hz_+50c,2,445.1185651498429,444.82193606055296,452.89290731530264,456.8339713636077,446.271633301938,445.710488763345,-4.478918351810309,-3.45477191188251,0,-1.15408703759739,14.99998980611154,-16.15408703759739,-1.019388846046354e-05,-46.13038464070507,1.7769678119759264e-05
speechtokenizer,Q8,16000,20260826,15.0,452.8929,456.8339666745868,452.9Hz_+50c,3,446.20947520628545,150.1313976961989,452.89290730334557,456.83397136890574,446.8172869548057,446.4268666202452,-2.356624910992546,-1886.6377524668583,1,-1885.794507782259,14.999989871896144,-1900.794507782259,-1.0128103856033022e-05,-1926.5330354696791,1.778975591550838e-05
speechtokenizer,Q8,16000,20260826,15.0,452.8929,456.8339666745868,452.9Hz_+50c,4,447.82006113729733,444.10407291436377,452.8929073052145,456.8339713743624,447.82006113729733,444.87767628378276,0.0,-3.0130851007615767,0,-14.425627280220116,14.999989885430729,-29.425627280220116,-1.011456927102472e-05,-48.92654400350877,1.7810434545926132e-05
speechtokenizer,Q8,16000,20260826,20.0,440.0,445.1125537328459,440Hz_ongrid,0,428.0491604526429,436.62300723338655,440.00000352829636,445.11255876220577,446.0260925781254,448.2075036151594,-71.22193694708777,-45.33437838550262,0,34.33398815116425,20.00000567882701,14.333988151164249,5.6788270086371995e-06,-33.33844476608541,1.956134211473107e-05
speechtokenizer,Q8,16000,20260826,20.0,440.0,445.1125537328459,440Hz_ongrid,1,437.46554959536803,447.29618318227807,440.000003516138,445.1125587614482,445.40019385124907,447.29618318227807,-31.119332185155237,0.0,0,38.473246251672116,20.000005723718957,18.473246251672116,5.7237189565739754e-06,8.47230880151934,1.955839560306615e-05
speechtokenizer,Q8,16000,20260826,20.0,440.0,445.1125537328459,440Hz_ongrid,2,434.93872988169727,448.6028922385506,440.0000035170755,445.1125587596808,447.8136253987785,448.6028922385506,-50.50349181565806,0.0,0,53.55208798277281,20.000005713155836,33.55208798277281,5.713155836417627e-06,13.522477680334868,1.9551521562414852e-05
speechtokenizer,Q8,16000,20260826,20.0,440.0,445.1125537328459,440Hz_ongrid,3,430.1129603881072,439.0437037606524,440.00000351231,445.1125587692638,447.5200997923543,448.34955474445763,-68.6842519868488,-36.311289345832705,0,35.57874388005486,20.000005769179,15.578743880054859,5.76917900119156e-06,-23.766759847292526,1.9588793685639525e-05
speechtokenizer,Q8,16000,20260826,20.0,440.0,445.1125537328459,440Hz_ongrid,4,433.0273430485927,446.78649366137444,440.0000035194737,445.11255876770673,443.93027731232513,446.78649366137444,-43.04997921018328,0.0,0,54.15293832044956,20.000005734936433,34.15293832044956,5.734936433299254e-06,6.498460137451055,1.9582737671971108e-05
speechtokenizer,Q8,16000,20260826,20.0,452.8929,458.15526201471454,452.9Hz_+50c,0,445.28654452455504,445.40389435900795,452.892907307664,458.1552595654905,446.3450124198422,446.042531590056,-4.110344697163319,-2.4805320350356634,0,0.45618549692163146,19.999962810734996,-19.54381450307837,-3.718926500440034e-05,-48.86690018425747,-9.254897742633597e-06
speechtokenizer,Q8,16000,20260826,20.0,452.8929,458.15526201471454,452.9Hz_+50c,1,445.77586317373016,447.88203922711693,452.89290730904486,458.15525956107433,445.77586317373016,447.88203922711693,0.0,0.0,0,8.160371968514127,19.999962788768954,-11.839628031485873,-3.721123104583057e-05,-39.2613313086304,-9.271585032066558e-06
speechtokenizer,Q8,16000,20260826,20.0,452.8929,458.15526201471454,452.9Hz_+50c,2,445.6757313476394,444.768544069105,452.8929073103869,458.15525956013727,445.9655560332148,445.07498602959777,-1.125462422389831,-1.1923956495622139,0,-3.5275740262005693,19.999962780098205,-23.52757402620057,-3.721990179528234e-05,-51.33819719202555,-9.275126035674314e-06
speechtokenizer,Q8,16000,20260826,20.0,452.8929,458.15526201471454,452.9Hz_+50c,3,149.89319778369716,444.38895834264076,452.892907302594,458.1552595686832,446.66828353923296,445.0565205474791,-1890.3226830426208,-2.59871271105701,1,1881.4656673300371,19.99996284218003,1861.4656673300371,-3.7157819971156414e-05,-52.8163420028914,-9.242833382081659e-06
speechtokenizer,Q8,16000,20260826,20.0,452.8929,458.15526201471454,452.9Hz_+50c,4,447.84863646254263,445.76472059982615,452.89290731176595,458.1552595675429,447.84863646254263,445.76472059982615,0.0,0.0,0,-8.074527105943535,19.99996280281018,-28.074527105943535,-3.719718981898268e-05,-47.46497759059478,-9.24714224702642e-06
speechtokenizer,Q8,16000,20260826,25.0,440.0,446.39994737251044,440Hz_ongrid,0,447.2894319500933,444.76218138362094,440.00000352270405,446.399948857775,447.8164734999637,445.4510940715811,-2.0387138020130386,-2.6795137147551515,0,-9.809463648996033,24.999991899660596,-34.80946364899603,-8.10033940368271e-06,-6.363285299015236,5.760172036102613e-06
speechtokenizer,Q8,16000,20260826,25.0,440.0,446.39994737251044,440Hz_ongrid,1,426.5204867828193,448.05310070257127,440.0000035266045,446.3999488437245,449.10766709558214,448.55313190837506,-89.3355750538039,-1.9309951399959788,0,85.26561980618878,24.999991829822893,60.26561980618878,-8.170177107302834e-06,6.399438401610461,5.705681367041985e-06
speechtokenizer,Q8,16000,20260826,25.0,440.0,446.39994737251044,440Hz_ongrid,2,437.63413208474077,446.47256363653287,440.000003519096,446.399948850091,448.56471968529155,447.36290855671905,-42.709071689048926,-3.4489478186660327,0,34.61551301411013,24.99999188405674,9.615513014110128,-8.115943259667802e-06,0.28159843094894466,5.730372097081238e-06
speechtokenizer,Q8,16000,20260826,25.0,440.0,446.39994737251044,440Hz_ongrid,3,446.279683856468,447.0879720002854,440.0000035143382,446.39994884455496,447.2344760188996,447.8468342461359,-3.699928674371441,-2.936009336713221,0,3.1327221859722063,24.999991881307064,-21.867277814027794,-8.118692935710214e-06,2.6662518245812055,5.708901963901243e-06
speechtokenizer,Q8,16000,20260826,25.0,440.0,446.39994737251044,440Hz_ongrid,4,446.41761167773046,447.83528155428763,440.00000352290607,446.39994884799154,447.418027800914,448.07645232632893,-3.8753325609305875,-0.9320629398928496,0,5.489096955203853,24.99999186092338,-19.510903044796148,-8.139076619784191e-06,5.557601536781753,5.722229883894894e-06
speechtokenizer,Q8,16000,20260826,25.0,452.8929,459.48037892132646,452.9Hz_+50c,0,447.4537528188792,446.02241359438284,452.892907305199,459.48038451544716,448.5454743787351,446.02241359438284,-4.218812727648494,0.0,0,-5.54684145850385,24.99999315263046,-30.54684145850385,-6.847369540707859e-06,-51.46445430046548,2.1077575116014736e-05
