codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
identity,uncoded,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,0,439.99999890643517,439.99999892034435,439.99999890643517,439.9999989203443,439.99999890643517,439.99999892034435,0.0,0.0,0,5.472746652736919e-08,5.472708211618874e-08,5.472746652736919e-08,5.472708211618874e-08,-4.24803781602906e-06,-4.248038008234651e-06
identity,uncoded,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,1,439.999998908179,439.99999891358925,439.99999890817907,439.99999891358925,439.999998908179,439.99999891358925,0.0,0.0,0,2.1287153528899714e-08,2.1287153528899714e-08,2.1287153528899714e-08,2.1287153528899714e-08,-4.274616581728104e-06,-4.274616581728104e-06
identity,uncoded,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,2,439.9999989180606,439.99999891430997,439.99999891806067,439.9999989143099,439.9999989180606,439.99999891430997,0.0,0.0,0,-1.475735301224723e-08,-1.4757737423427693e-08,-1.475735301224723e-08,-1.4757737423427693e-08,-4.2717807804428674e-06,-4.271780972648458e-06
identity,uncoded,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,3,439.99999891327377,439.9999989089347,439.9999989132737,439.9999989089345,439.99999891327377,439.9999989089347,0.0,0.0,0,-1.7072661552165784e-08,-1.7073045963346246e-08,-1.7072661552165784e-08,-1.7073045963346246e-08,-4.292930507027201e-06,-4.292931275849563e-06
identity,uncoded,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,4,439.99999891991285,439.9999989139951,439.9999989199129,439.9999989139952,439.99999891991285,439.9999989139951,0.0,0.0,0,-2.3284169611665384e-08,-2.3283785200484923e-08,-2.3284169611665384e-08,-2.3283785200484923e-08,-4.27301954547495e-06,-4.273019161063769e-06
identity,uncoded,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,0,452.89290104710545,452.8929010389427,452.8929010465134,452.8929010391853,452.89290104710545,452.8929010389427,0.0,0.0,0,-3.1203039929220475e-08,-2.8012427131366254e-08,-3.1203039929220475e-08,-2.8012427131366254e-08,3.971475296743047e-06,3.972402496508183e-06
identity,uncoded,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,1,452.89290104155464,452.8929010401688,452.8929010416567,452.8929010401568,452.89290104155464,452.8929010401688,0.0,0.0,0,-5.297570477896911e-09,-5.733684962127663e-09,-5.297570477896911e-09,-5.733684962127663e-09,3.9761620378444296e-06,3.9761162929140605e-06
identity,uncoded,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,2,452.8929010469067,452.89290103792524,452.8929010469178,452.8929010376845,452.8929010469067,452.89290103792524,0.0,0.0,0,-3.433253134938658e-08,-3.529528915086247e-08,-3.433253134938658e-08,-3.529528915086247e-08,3.967585824428092e-06,3.966665928475366e-06
identity,uncoded,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,3,452.8929010492275,452.89290105354826,452.89290104897003,452.8929010538118,452.8929010492275,452.89290105354826,0.0,0.0,0,1.651661077947062e-08,1.8508245105402287e-08,1.651661077947062e-08,1.8508245105402287e-08,4.0273067920525775e-06,4.028313949343033e-06
identity,uncoded,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,4,452.89290104148586,452.89290105237376,452.8929010417582,452.89290105219743,452.89290104148586,452.89290105237376,0.0,0.0,0,4.1620198507664646e-08,3.990534023168282e-08,4.1620198507664646e-08,3.990534023168282e-08,4.022817253886448e-06,4.022142996677492e-06
