codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
encodec,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,0,440.0150729724884,439.9844043864625,439.99999888306246,439.99999887818853,440.0150729724884,439.9844043864625,0.0,0.0,0,-0.12066939072654768,-1.9177120559603992e-08,-0.12066939072654768,-1.9177120559603992e-08,-0.061363944725545704,-4.4139050902326535e-06
encodec,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,1,440.000453480061,440.02383818288405,439.9999988768449,439.99999890288177,440.000453480061,440.02383818288405,0.0,0.0,0,0.09200744603886053,1.0244519517778952e-07,0.09200744603886053,1.0244519517778952e-07,0.09379171812460022,-4.316746509566093e-06
encodec,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,2,439.9983171265426,439.998864719939,439.9999989113882,439.99999890845874,439.9983171265426,439.998864719939,0.0,0.0,0,0.002154580383552063,-1.1526377040474978e-08,0.002154580383552063,-1.1526377040474978e-08,-0.004466904619233863,-4.294803166097445e-06
encodec,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,3,440.01174180041977,440.00217562244626,439.99999889095176,439.99999887850004,440.01174180041977,440.00217562244626,0.0,0.0,0,-0.03763870707025001,-4.8992820538858124e-08,-0.03763870707025001,-4.8992820538858124e-08,0.008560232602103245,-4.41267939518064e-06
encodec,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,4,439.98423882213876,439.9809813590105,439.9999989120695,439.99999891244954,439.98423882213876,439.9809813590105,0.0,0.0,0,-0.012817395396767359,1.4953594919801578e-09,-0.012817395396767359,1.4953594919801578e-09,-0.07483279650484222,-4.279100930364813e-06
encodec,3.0kbps,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,0,452.90863573061404,452.96194197268045,452.8929120245234,452.8929120162156,452.90863573061404,452.96194197268045,0.0,0.0,0,0.20375003597909644,-3.1757553057040925e-08,0.20375003597909644,-3.1757553057040925e-08,0.26390059115927295,4.593333478201002e-05
encodec,3.0kbps,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,1,452.89595404195035,452.9693122876379,452.89291202377785,452.89291203315827,452.89595404195035,452.9693122876379,0.0,0.0,0,0.28039554603157185,3.585787491273131e-08,0.28039554603157185,3.585787491273131e-08,0.29206992552528294,4.599810037597397e-05
encodec,3.0kbps,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,2,452.8875904850489,452.9251906880113,452.89291202734904,452.89291202807385,452.8875904850489,452.9251906880113,0.0,0.0,0,0.14372672369074044,2.7708357887375338e-09,0.14372672369074044,2.7708357887375338e-09,0.12343038663371568,4.597866454720631e-05
encodec,3.0kbps,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,3,452.84001061180254,452.866963003315,452.8929120292763,452.8929120184066,452.84001061180254,452.866963003315,0.0,0.0,0,0.10303751492079923,-4.15506200850007e-08,0.10303751492079923,-4.15506200850007e-08,-0.099149926239747,4.594171033258759e-05
encodec,3.0kbps,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,4,452.9168641492106,452.960177799831,452.8929120318728,452.89291203189345,452.9168641492106,452.960177799831,0.0,0.0,0,0.16555462458612363,7.880429199384518e-11,0.16555462458612363,7.880429199384518e-11,0.25715785679228725,4.5993265252274625e-05
