codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
dac,Q6,16000,20260826,0.0,440.0,440.0,440Hz_ongrid,0,439.99961581312147,146.67057727018206,440.0000035132745,440.000003527726,439.99961581312147,440.21260495691166,0.0,-1902.7451595148177,1,-1901.9073295999247,5.6860948578841166e-08,-1901.9073295999247,5.6860948578841166e-08,-1901.9088412310512,1.3880271181340563e-05
dac,Q6,16000,20260826,0.0,440.0,440.0,440Hz_ongrid,1,440.65239514497955,219.8541047235438,440.0000035152701,440.0000035206012,440.65239514497955,440.00302451919396,0.0,-1201.1603669258943,1,-1203.7134943273109,2.0975780472732702e-08,-1203.7134943273109,2.0975780472732702e-08,-1201.1484666244983,1.385223761181903e-05
dac,Q6,16000,20260826,0.0,440.0,440.0,440Hz_ongrid,2,440.26777444849876,440.0099675424157,440.00000352531737,440.000003521552,440.26777444849876,440.0099675424157,0.0,0.0,0,-1.0140529184502693,-1.4815206894906623e-08,-1.0140529184502693,-1.4815206894906623e-08,0.03921807582385309,1.3855978701397308e-05
dac,Q6,16000,20260826,0.0,440.0,440.0,440Hz_ongrid,3,219.88076958667511,439.99727229940663,440.0000035202026,440.00000351703187,440.17696745928333,439.99727229940663,-1201.6346679718317,0.0,1,1200.9277752465036,-1.2475680450622071e-08,1200.9277752465036,-1.2475680450622071e-08,-0.010732506319202308,1.3838193918275679e-05
dac,Q6,16000,20260826,0.0,440.0,440.0,440Hz_ongrid,4,439.992597115121,440.00450112714685,440.0000035272335,440.000003520913,439.992597115121,440.00450112714685,0.0,0.0,0,0.04683795203876387,-2.4868712497534435e-08,0.04683795203876387,-2.4868712497534435e-08,0.017710147086520026,1.3853464652297234e-05
dac,Q6,16000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,0,442.5344988274258,442.8046249951316,442.54889729447984,442.54889730425185,442.5344988274258,442.8046249951316,0.0,0.0,0,1.056435033772259,3.822776984020288e-08,1.056435033772259,3.822776984020288e-08,1.000097291267677,-1.0545661695009569e-05
dac,Q6,16000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,1,442.73698132847113,221.2760066356228,442.548897302573,442.5488972996398,442.73698132847113,442.9194823602438,0.0,-1201.436918158322,1,-1200.7234315692879,-1.147448153111283e-08,-1200.7234315692879,-1.147448153111283e-08,-1199.9878210470615,-1.056370384166876e-05
dac,Q6,16000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,2,442.8334371191671,221.25478466530188,442.548897300682,442.5488973077431,442.8334371191671,443.23586372065165,0.0,-1202.8391585495951,1,-1201.2666073236749,2.762301860511551e-08,-1201.2666073236749,2.762301860511551e-08,-1200.1538668832304,-1.0532003950095942e-05
dac,Q6,16000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,3,221.3157354594221,442.8723876510928,442.5488973030586,442.54889729981215,442.923026763777,442.8723876510928,-1201.1399669371242,0.0,1,1200.9420247153373,-1.2699984374420822e-08,1200.9420247153373,-1.2699984374420822e-08,1.2650088014663758,-1.0563029584454122e-05
dac,Q6,16000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,4,442.8086487052852,443.0211197749107,442.5488973032181,442.54889729872593,442.8086487052852,443.0211197749107,0.0,0.0,0,0.8304917498139875,-1.757316490912684e-08,0.8304917498139875,-1.757316490912684e-08,1.8463204765253658,-1.0567278865668835e-05
dac,Q6,16000,20260826,0.0,445.1126,445.1126,445.1Hz_+20.0c,0,222.57697265764176,222.57997251475967,445.11260502479587,445.11260502093256,445.0581201218543,445.04510097407945,-1199.6272891714127,-1199.5533120350058,1,0.023333140553004214,-1.5026056427389538e-08,0.023333140553004214,-1.5026056427389538e-08,-1199.8158646412428,1.9528562989332318e-05
dac,Q6,16000,20260826,0.0,445.1126,445.1126,445.1Hz_+20.0c,1,444.97717897896,222.5869057933687,445.11260502530365,445.1126050360932,444.97717897896,444.9658322509936,0.0,-1199.1910012848289,1,-1199.235147576342,4.1965399747707406e-08,-1199.235147576342,4.1965399747707406e-08,-1199.7619382213525,1.9587528972870132e-05
dac,Q6,16000,20260826,0.0,445.1126,445.1126,445.1Hz_+20.0c,2,222.5728094242907,222.6014650140306,445.1126050251331,445.11260503613016,445.03408950361245,445.086778361165,-1199.5661923122284,-1199.5482690188762,1,0.22287690718361933,4.277227881546856e-08,0.22287690718361933,4.277227881546856e-08,-1199.6487033742646,1.9587672742649996e-05
dac,Q6,16000,20260826,0.0,445.1126,445.1126,445.1Hz_+20.0c,3,222.5824459842903,222.63205359390693,445.1126050232128,445.1126050216818,445.0241831090746,222.63205359390693,-1199.4527006061276,0.0,1,0.3858022741752101,-5.954529185301409e-09,0.3858022741752101,-5.954529185301409e-09,-1199.410823749912,1.9531477210458493e-05
dac,Q6,16000,20260826,0.0,445.1126,445.1126,445.1Hz_+20.0c,4,222.60767308571147,445.0049189048329,445.1126050245533,445.11260502790645,445.04427156844713,445.0049189048329,-1199.3346431190496,0.0,1,1199.1815534427844,1.304191811934232e-08,1199.1815534427844,1.304191811934232e-08,-0.41886868945772765,1.955568742633042e-05
dac,Q6,16000,20260826,0.0,447.6911,447.6911,447.7Hz_+30.0c,0,223.85244009983145,223.85113520538556,447.6910967587417,447.6910967695284,447.52398753231165,447.34510644771086,-1199.3003631574113,-1198.6183201855968,1,-0.010091845675431506,4.171245719097229e-08,-0.010091845675431506,4.171245719097229e-08,-1199.9568042469173,-1.249232453873436e-05
dac,Q6,16000,20260826,0.0,447.6911,447.6911,447.7Hz_+30.0c,1,223.89901208058993,223.83871185700986,447.691096765612,447.6910967550814,447.6198749624807,447.8240733057424,-1199.3111195052652,-1200.567022544544,1,-0.4663167532153681,-4.0722021785504245e-08,-0.4663167532153681,-4.0722021785504245e-08,-1200.0528873895576,-1.2548191400405498e-05
dac,Q6,16000,20260826,0.0,447.6911,447.6911,447.7Hz_+30.0c,2,223.87916847709917,223.69463284408178,447.6910967619122,447.6910967570154,447.5773041767246,447.551818653615,-1199.299904754747,-1200.6289067215369,1,-1.42758306364466,-1.8936286955044534e-08,-1.42758306364466,-1.8936286955044534e-08,-1201.1675953973877,-1.2540712680835501e-05
dac,Q6,16000,20260826,0.0,447.6911,447.6911,447.7Hz_+30.0c,3,447.45022169336517,149.18902764792534,447.69109675589704,447.6910967723995,447.45022169336517,447.3884521884944,0.0,-1901.2639013912328,1,-1901.5029108871727,6.381533124426067e-08,-1901.5029108871727,6.381533124426067e-08,-1902.4346447398893,-1.2481221974940298e-05
dac,Q6,16000,20260826,0.0,447.6911,447.6911,447.7Hz_+30.0c,4,223.63958542157104,111.9510440766758,447.6910967499079,447.6910967580891,447.1397555511538,447.29559940762715,-1199.4602965226188,-2398.0326981128046,1,-1197.9691110518618,3.1637040151387056e-08,-1197.9691110518618,3.1637040151387056e-08,-2399.5627859609594,-1.2536560463439713e-05
dac,Q6,16000,20260826,0.0,450.2845,450.2845,450.3Hz_+40.0c,0,449.3648898146938,225.08991169321948,450.28450236500896,450.2845023620919,449.3648898146938,450.3757128040996,0.0,-1200.7531582926892,1,-1196.8632106611262,-1.1215196189892354e-08,-1196.8632106611262,-1.1215196189892354e-08,-1200.4025028280357,9.081667216331076e-06
