codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
encodec,24.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,0,440.15887231307795,440.15747005248176,439.99999890643517,439.9999989203443,440.15887231307795,440.15747005248176,0.0,0.0,0,-0.005515383897743977,5.472708211618874e-08,-0.005515383897743977,5.472708211618874e-08,0.6194744207697258,-4.248038008234651e-06
encodec,24.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,1,440.2700555325235,440.1594066231429,439.99999890817907,439.99999891358925,440.2700555325235,440.1594066231429,0.0,0.0,0,-0.4351493643823317,2.1287153528899714e-08,-0.4351493643823317,2.1287153528899714e-08,0.6270913531626104,-4.274616581728104e-06
encodec,24.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,2,440.1733037704665,440.17907981075894,439.99999891806067,439.9999989143099,440.1733037704665,440.17907981075894,0.0,0.0,0,0.022717443173268004,-1.4757737423427693e-08,0.022717443173268004,-1.4757737423427693e-08,0.704468163980756,-4.271780972648458e-06
encodec,24.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,3,440.2392036308949,440.3986855896854,439.9999989132737,439.9999989089345,440.2392036308949,440.3986855896854,0.0,0.0,0,0.6270468342728766,-1.7073045963346246e-08,0.6270468342728766,-1.7073045963346246e-08,1.56796716354568,-4.292931275849563e-06
encodec,24.0kbps,24000,20260826,0.0,442.5,442.5,442.5Hz_+09.8c,0,442.2361401591653,442.2644329475601,442.4999989661798,442.49999897623076,442.2361401591653,442.2644329475601,0.0,0.0,0,0.11075501840939918,3.9323341704483046e-08,0.11075501840939918,3.9323341704483046e-08,-0.9218763695103486,-4.005388060271782e-06
encodec,24.0kbps,24000,20260826,0.0,442.5,442.5,442.5Hz_+09.8c,1,442.29322052941444,442.2720781706424,442.49999897361255,442.4999989705504,442.29322052941444,442.2720781706424,0.0,0.0,0,-0.08275787314856087,-1.1980366644598711e-08,-0.08275787314856087,-1.1980366644598711e-08,-0.8919495765590679,-4.027611831693557e-06
encodec,24.0kbps,24000,20260826,0.0,442.5,442.5,442.5Hz_+09.8c,2,442.37175047348694,442.1736508278715,442.49999897207243,442.49999897870447,442.37175047348694,442.1736508278715,0.0,0.0,0,-0.7754420673643005,2.594698585834548e-08,-0.7754420673643005,2.594698585834548e-08,-1.2772773864645164,-3.9957097399590314e-06
encodec,24.0kbps,24000,20260826,0.0,442.5,442.5,442.5Hz_+09.8c,3,442.2483193149904,442.28513434174107,442.499998974747,442.499998971771,442.2483193149904,442.28513434174107,0.0,0.0,0,0.14411083628649118,-1.164323803933493e-08,0.14411083628649118,-1.164323803933493e-08,-0.8408431299926041,-4.022836291587627e-06
encodec,24.0kbps,24000,20260826,0.0,445.1,445.1,445.1Hz_+20.0c,0,444.24409400960235,443.970945828628,445.09999784207946,445.0999978380815,444.24409400960235,443.970945828628,0.0,0.0,0,-1.0647949540163695,-1.5550201071948363e-08,-1.0647949540163695,-1.5550201071948363e-08,-4.397080086033981,-8.408867545040594e-06
encodec,24.0kbps,24000,20260826,0.0,445.1,445.1,445.1Hz_+20.0c,1,444.3146269719315,443.90108938931905,445.0999978425729,445.09999785348725,444.3146269719315,443.90108938931905,0.0,0.0,0,-1.6120642364906275,4.2451679890974656e-08,-1.6120642364906275,4.2451679890974656e-08,-4.669501880460665,-8.348946298763184e-06
encodec,24.0kbps,24000,20260826,0.0,445.1,445.1,445.1Hz_+20.0c,2,444.2282122471982,444.0330201637847,445.09999784247316,445.09999785359815,444.2282122471982,444.0330201637847,0.0,0.0,0,-0.7608644259656184,4.327124452769037e-08,-0.7608644259656184,4.327124452769037e-08,-4.155042422043431,-8.34851498941663e-06
encodec,24.0kbps,24000,20260826,0.0,445.1,445.1,445.1Hz_+20.0c,3,444.23923752769724,444.18844408189756,445.0999978404666,445.0999978389384,444.23923752769724,444.18844408189756,0.0,0.0,0,-0.19795723333237314,-5.943957877838784e-09,-0.19795723333237314,-5.943957877838784e-09,-3.5491683407384365,-8.405534700089838e-06
encodec,24.0kbps,24000,20260826,0.0,447.7,447.7,447.7Hz_+30.0c,0,446.3702462008812,446.1481497073287,447.70000272808124,447.70000273836774,446.3702462008812,446.1481497073287,0.0,0.0,0,-0.861609175823338,3.977733130859332e-08,-0.861609175823338,3.977733130859332e-08,-6.011353865742364,1.0589134498698611e-05
encodec,24.0kbps,24000,20260826,0.0,447.7,447.7,447.7Hz_+30.0c,1,446.189568256358,445.6547630098248,447.7000027349747,447.70000272250826,446.189568256358,445.6547630098248,0.0,0.0,0,-2.0763111474463543,-4.8207084085980346e-08,-2.0763111474463543,-4.8207084085980346e-08,-7.926951864006742,1.0527806692575943e-05
encodec,24.0kbps,24000,20260826,0.0,447.7,447.7,447.7Hz_+30.0c,2,446.00384947904547,445.9959707694862,447.70000273085594,447.7000027255708,446.00384947904547,445.9959707694862,0.0,0.0,0,-0.030582719732579294,-2.043741261474927e-08,-0.030582719732579294,-2.043741261474927e-08,-6.601970012286508,1.0539649247740251e-05
encodec,24.0kbps,24000,20260826,0.0,447.7,447.7,447.7Hz_+30.0c,3,446.1316185768589,445.84440943347596,447.7000027239655,447.7000027415516,446.1316185768589,445.84440943347596,0.0,0.0,0,-1.1148870592877316,6.800464428873017e-08,-1.1148870592877316,6.800464428873017e-08,-7.1903895406535066,1.0601446419910963e-05
encodec,24.0kbps,24000,20260826,0.0,450.3,450.3,450.3Hz_+40.1c,0,449.81219499317126,448.1053343079265,450.30000148794244,450.30000148429764,449.81219499317126,448.1053343079265,0.0,0.0,0,-6.581849219148821,-1.4012940761284537e-08,-6.581849219148821,-1.4012940761284537e-08,-8.458292454782715,5.706565897165303e-06
encodec,24.0kbps,24000,20260826,0.0,450.3,450.3,450.3Hz_+40.1c,1,448.89479921056824,448.2910322224737,450.3000014749518,450.300001501447,448.89479921056824,448.2910322224737,0.0,0.0,0,-2.3300905757988213,1.0186434988415209e-07,-2.3300905757988213,1.0186434988415209e-07,-7.741005841165598,5.7724985649741155e-06
encodec,24.0kbps,24000,20260826,0.0,450.3,450.3,450.3Hz_+40.1c,2,447.73803773650417,447.7290282464565,450.3000014767212,450.3000014969354,447.73803773650417,447.7290282464565,0.0,0.0,0,-0.03483664900325595,7.77160239402266e-08,-0.03483664900325595,7.77160239402266e-08,-9.912744152633369,5.755153163747247e-06
encodec,24.0kbps,24000,20260826,0.0,450.3,450.3,450.3Hz_+40.1c,3,448.916177654518,446.8702280081018,450.30000149497744,450.300001496864,448.916177654518,446.8702280081018,0.0,0.0,0,-7.908188441315012,7.25307015286239e-09,-7.908188441315012,7.25307015286239e-09,-13.236656307301407,5.754878694165313e-06
encodec,24.0kbps,24000,20260826,0.0,452.9,452.9,452.9Hz_+50.0c,0,451.788755503191,451.26519097035424,452.90000076781325,452.9000007635961,451.788755503191,451.26519097035424,0.0,0.0,0,-2.007438982420046,-1.6120282852572482e-08,-2.007438982420046,-1.6120282852572482e-08,-6.2604492371475375,2.9188863706758997e-06
encodec,24.0kbps,24000,20260826,0.0,452.9,452.9,452.9Hz_+50.0c,1,451.8379724912929,451.7222247028741,452.900000769334,452.90000075811275,451.8379724912929,451.7222247028741,0.0,0.0,0,-0.4435487843159216,-4.2893752749552975e-08,-0.4435487843159216,-4.2893752749552975e-08,-4.507972041693825,2.897925966685471e-06
encodec,24.0kbps,24000,20260826,0.0,452.9,452.9,452.9Hz_+50.0c,2,451.5947042703274,451.4978212015233,452.9000007692936,452.9000007676992,451.5947042703274,451.4978212015233,0.0,0.0,0,-0.37145090542637776,-6.094647060578761e-09,-0.37145090542637776,-6.094647060578761e-09,-5.368216435124524,2.934570731223243e-06
encodec,24.0kbps,24000,20260826,0.0,452.9,452.9,452.9Hz_+50.0c,3,451.44177251140536,451.23950004547254,452.9000007664594,452.90000076063563,451.44177251140536,451.23950004547254,0.0,0.0,0,-0.7758685080078235,-2.2261635871634212e-08,-0.7758685080078235,-2.2261635871634212e-08,-6.3590127224391395,2.907569689953446e-06
encodec,24.0kbps,24000,20260826,0.0,455.5,455.5,455.5Hz_+59.9c,0,454.74993072925685,454.16372642927183,455.49999899086265,455.4999989884324,454.74993072925685,454.16372642927183,0.0,0.0,0,-2.233120773495126,-9.236631844064421e-09,-2.233120773495126,-9.236631844064421e-09,-5.086283868033407,-3.844698612513994e-06
encodec,24.0kbps,24000,20260826,0.0,455.5,455.5,455.5Hz_+59.9c,1,454.3831787983469,454.3981430658974,455.49999899311734,455.49999898684484,454.3665603845833,454.3981430658974,0.0633185628819158,0.0,0,0.057014044813213746,-2.3840028178614916e-08,0.057014044813213746,-2.3840028178614916e-08,-4.192937832667708,-3.850732522621461e-06
encodec,24.0kbps,24000,20260826,0.0,455.5,455.5,455.5Hz_+59.9c,2,454.90352362771796,454.57513192129437,455.4999989930981,455.49999898613356,454.66100518257906,454.57513192129437,0.9232026676541348,0.0,0,-1.2502171982381782,-2.647016947534533e-08,-1.2502171982381782,-2.647016947534533e-08,-3.5187504938920093,-3.853436086459636e-06
encodec,24.0kbps,24000,20260826,0.0,455.5,455.5,455.5Hz_+59.9c,3,454.173702287655,454.0952704053416,455.4999989909805,455.49999899110844,454.173702287655,454.0952704053416,0.0,0.0,0,-0.2989950105381063,4.862801432790362e-10,-0.2989950105381063,4.862801432790362e-10,-5.347252160401991,-3.834527861478885e-06
encodec,24.0kbps,24000,20260826,0.0,458.2,458.2,458.2Hz_+70.2c,0,459.3411560294762,459.7955526308688,458.2000009845399,458.20000097257474,459.3411560294762,459.7955526308688,0.0,0.0,0,1.7117517444081563,-4.5208292467148223e-08,1.7117517444081563,-4.5208292467148223e-08,6.018063628470163,3.6747152478414964e-06
encodec,24.0kbps,24000,20260826,0.0,458.2,458.2,458.2Hz_+70.2c,1,459.79885626359015,459.53170661722,458.20000097358934,458.2000009786796,459.79885626359015,459.53170661722,0.0,0.0,0,-1.0061638232959258,1.923286018055732e-08,-1.0061638232959258,1.923286018055732e-08,5.0243386834393124,3.6977814562645716e-06
encodec,24.0kbps,24000,20260826,0.0,458.2,458.2,458.2Hz_+70.2c,2,459.3370896821749,458.656337923837,458.2000009702336,458.2000009740932,459.3370896821749,458.656337923837,0.0,0.0,0,-2.567645483266642,1.4583022541785306e-08,-2.567645483266642,1.4583022541785306e-08,1.723340471534947,3.680452584697641e-06
encodec,24.0kbps,24000,20260826,0.0,458.2,458.2,458.2Hz_+70.2c,3,459.93136849419034,459.53027489978314,458.20000097765535,458.2000009677078,459.93136849419034,459.53027489978314,0.0,0.0,0,-1.5104206609054158,-3.7585226552897733e-08,-1.5104206609054158,-3.7585226552897733e-08,5.0189448405316845,3.6563261702408715e-06
encodec,24.0kbps,24000,20260826,0.0,460.8,460.8,460.8Hz_+80.0c,0,463.2153228436206,462.47372708785747,460.7999990074698,460.7999990060374,463.2153228436206,462.47372708785747,0.0,0.0,0,-2.773882002347045,-5.381564320827197e-09,-2.773882002347045,-5.381564320827197e-09,6.276830830311478,-3.7343357000077104e-06
encodec,24.0kbps,24000,20260826,0.0,460.8,460.8,460.8Hz_+80.0c,1,462.39108906938,462.8883782259774,460.79999900121965,460.79999898877776,462.39108906938,462.8883782259774,0.0,0.0,0,1.8608950775537443,-4.6744399544298346e-08,1.8608950775537443,-4.6744399544298346e-08,7.8283493390588745,-3.7991804845355e-06
encodec,24.0kbps,24000,20260826,0.0,460.8,460.8,460.8Hz_+80.0c,2,462.8744518910811,462.4403412019005,460.7999989922372,460.79999898927883,462.8744518910811,462.4403412019005,0.0,0.0,0,-1.624414235937908,-1.1114672666201993e-08,-1.624414235937908,-1.1114672666201993e-08,6.1518488789417125,-3.7972980229806683e-06
encodec,24.0kbps,24000,20260826,0.0,460.8,460.8,460.8Hz_+80.0c,3,462.61546707189285,463.2090228566523,460.79999899084413,460.79999900283224,462.61546707189285,463.2090228566523,0.0,0.0,0,2.219824894591388,4.5039535957751104e-08,2.219824894591388,4.5039535957751104e-08,9.027166923057075,-3.7463775724671575e-06
encodec,24.0kbps,24000,20260826,0.0,463.5,463.5,463.5Hz_+90.1c,0,465.40204586345106,465.37720573466123,463.5000010902315,463.5000010839544,465.40204586345106,465.37720573466123,0.0,0.0,0,-0.092404459339963,-2.3445814513050067e-08,-0.092404459339963,-2.3445814513050067e-08,6.997452169753163,4.0487134974088e-06
encodec,24.0kbps,24000,20260826,0.0,463.5,463.5,463.5Hz_+90.1c,1,465.1258903270601,465.3982460284156,463.50000110687097,463.5000010847583,465.1258903270601,465.3982460284156,0.0,0.0,0,1.013432018980844,-8.259362520717983e-08,1.013432018980844,-8.259362520717983e-08,7.075721687684834,4.051716517543511e-06
encodec,24.0kbps,24000,20260826,0.0,463.5,463.5,463.5Hz_+90.1c,2,465.11780425495084,465.3169743920358,463.5000011026504,463.50000110249346,465.11780425495084,465.3169743920358,0.0,0.0,0,0.7411806524405583,-5.862270501982292e-10,0.7411806524405583,-5.862270501982292e-10,6.773373082236682,4.117959405237239e-06
encodec,24.0kbps,24000,20260826,0.0,463.5,463.5,463.5Hz_+90.1c,3,465.1329846219447,465.2654506638987,463.50000110178524,463.5000011004072,465.1329846219447,465.2654506638987,0.0,0.0,0,0.4929710004402548,-5.147265706337462e-09,0.4929710004402548,-5.147265706337462e-09,6.581665974569306,4.1101670062166964e-06
encodec,24.0kbps,24000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,0,440.24164117004113,441.21034059220756,439.9999989194952,441.2726035505878,440.24164117004113,441.21034059220756,0.0,0.0,0,3.8051899203171766,4.999992042405136,-1.1948100796828234,-7.957594863938766e-06,-0.24430419090449546,-1.2208973710158361e-05
encodec,24.0kbps,24000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,1,440.16863331983865,441.3446799040823,439.99999891724445,441.2726035387518,440.16863331983865,441.3446799040823,0.0,0.0,0,4.619358703591769,4.999992004825387,-0.3806412964082311,-7.995174613029121e-06,0.28274010036508845,-1.2255409620057808e-05
encodec,24.0kbps,24000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,2,440.331893771664,441.25485428720475,439.99999891499056,441.2726035591435,440.331893771664,441.25485428720475,0.0,0.0,0,3.6249665906460296,4.999992093695618,-1.3750334093539704,-7.906304381855023e-06,-0.06964886185241806,-1.2175407502261169e-05
encodec,24.0kbps,24000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,3,440.1904476998041,441.22085407444234,439.9999989041002,441.2726035445015,440.1904476998041,441.22085407444234,0.0,0.0,0,4.047770681423848,4.999992079100606,-0.9522293185761521,-7.920899394164849e-06,-0.2030515730685484,-1.2232851795212234e-05
encodec,24.0kbps,24000,20260826,5.0,442.5,443.77983738219496,442.5Hz_+09.8c,0,442.23689676460924,443.09887019253483,442.49999897182107,443.77983640248596,442.23689676460924,443.09887019253483,0.0,0.0,0,3.3711011686893726,5.000000200687734,-1.6288988313106274,2.0068773398662643e-07,-2.658568317507048,-3.821952810710353e-06
