codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
encodec,3.0kbps,24000,20260826,0.0,880.0,880.0,880Hz_ongrid,0,881.8500179163985,881.7440937389196,879.9999979477371,879.9999979454049,881.8500179163985,881.7440937389196,0.0,0.0,0,-0.20796116485039304,-4.5883318499502635e-09,-0.20796116485039304,-4.5883318499502635e-09,3.427779849213193,-4.042028404227865e-06
encodec,3.0kbps,24000,20260826,0.0,880.0,880.0,880Hz_ongrid,1,882.5711726252196,882.1149807691653,879.9999979474252,879.9999979472433,882.5711726252196,882.1149807691653,0.0,0.0,0,-0.8950882174511469,-3.578868090062396e-10,-0.8950882174511469,-3.578868090062396e-10,4.155833778080254,-4.0384116716280875e-06
encodec,3.0kbps,24000,20260826,0.0,880.0,880.0,880Hz_ongrid,2,881.5443687578954,882.0216951615326,879.9999979462154,879.9999979461805,881.5443687578954,882.0216951615326,0.0,0.0,0,0.9371508780767274,-6.86173957117169e-11,0.9371508780767274,-6.86173957117169e-11,3.972742272104165,-4.0405024840434755e-06
encodec,3.0kbps,24000,20260826,0.0,880.0,880.0,880Hz_ongrid,3,882.6905447023368,881.5112753538267,879.9999979466135,879.9999979464923,882.6905447023368,881.5112753538267,0.0,0.0,0,-2.3144648531979057,-2.383349318838463e-10,-2.3144648531979057,-2.383349318838463e-10,2.970599199230182,-4.0398891560036246e-06
encodec,3.0kbps,24000,20260826,0.0,880.0,880.0,880Hz_ongrid,4,881.426481481299,882.357832029852,879.9999979457557,879.9999979469568,881.426481481299,882.357832029852,0.0,0.0,0,1.8283255143837245,2.3629755262724233e-09,1.8283255143837245,2.3629755262724233e-09,4.632386741622311,-4.038975410625544e-06
encodec,3.0kbps,24000,20260826,0.0,885.0978,885.0978,885.1Hz_+10.0c,0,884.7091986331674,884.2636790537887,885.0977979338223,885.0977979364965,884.7091986331674,884.2636790537887,0.0,0.0,0,-0.8720299687833938,5.230682932481249e-09,-0.8720299687833938,5.230682932481249e-09,-1.6322935784377253,-4.036172668702289e-06
encodec,3.0kbps,24000,20260826,0.0,885.0978,885.0978,885.1Hz_+10.0c,1,883.9787311766102,884.0110771455453,885.0977979355386,885.0977979357756,883.9787311766102,884.0110771455453,0.0,0.0,0,0.06334701989012663,4.6359988363203283e-10,0.06334701989012663,4.6359988363203283e-10,-2.1269147065761675,-4.037582688915497e-06
encodec,3.0kbps,24000,20260826,0.0,885.0978,885.0978,885.1Hz_+10.0c,2,885.7983363735046,883.6379230019442,885.0977979340105,885.0977979370241,885.7983363735046,883.6379230019442,0.0,0.0,0,-4.227541995528869,5.894561041129719e-09,-4.227541995528869,5.894561041129719e-09,-2.8578484705701896,-4.035140716885945e-06
encodec,3.0kbps,24000,20260826,0.0,885.0978,885.0978,885.1Hz_+10.0c,3,884.1812462474296,884.6153410547026,885.0977979337417,885.0977979328161,884.1812462474296,884.6153410547026,0.0,0.0,0,0.849752573424516,-1.8105766599571384e-09,0.849752573424516,-1.8105766599571384e-09,-0.9439375847886833,-4.0433715368955215e-06
encodec,3.0kbps,24000,20260826,0.0,885.0978,885.0978,885.1Hz_+10.0c,4,884.4355784735657,884.6996304000204,885.097797935838,885.0977979332897,884.4355784735657,884.6996304000204,0.0,0.0,0,0.5167899964927682,-4.9844675714131115e-09,0.5167899964927682,-4.9844675714131115e-09,-0.7789872090191616,-4.042445105948454e-06
encodec,3.0kbps,24000,20260826,0.0,890.2251,890.2251,890.2Hz_+20.0c,0,886.5881976786274,886.5074184901375,890.2250979105421,890.2250979097059,886.5881976786274,886.5074184901375,0.0,0.0,0,-0.15774409500653158,-1.6260592933372157e-09,-0.15774409500653158,-1.6260592933372157e-09,-7.244969222504249,-4.0650259953581895e-06
encodec,3.0kbps,24000,20260826,0.0,890.2251,890.2251,890.2Hz_+20.0c,1,888.3418526709568,886.7647912723588,890.2250979105054,890.2250979103403,888.3418526709568,886.7647912723588,0.0,0.0,0,-3.0761679794055703,-3.209833356822845e-10,-3.0761679794055703,-3.209833356822845e-10,-6.742426494365523,-4.063792419877205e-06
encodec,3.0kbps,24000,20260826,0.0,890.2251,890.2251,890.2Hz_+20.0c,2,886.9240491415794,888.2405363381923,890.2250979103387,890.2250979101832,886.9240491415794,888.2405363381923,0.0,0.0,0,2.5678158480815845,-3.0253159902030727e-10,2.5678158480815845,-3.0253159902030727e-10,-3.86371885936479,-4.064098026766385e-06
encodec,3.0kbps,24000,20260826,0.0,890.2251,890.2251,890.2Hz_+20.0c,3,888.0718298593665,889.2049337127161,890.2250979104066,890.2250979106502,888.0718298593665,889.2049337127161,0.0,0.0,0,2.207498885983049,4.739789855043903e-10,2.207498885983049,4.739789855043903e-10,-1.9850702441758934,-4.063189663144831e-06
encodec,3.0kbps,24000,20260826,0.0,890.2251,890.2251,890.2Hz_+20.0c,4,886.121385236948,888.6679923360333,890.2250979099932,890.2250979102836,886.121385236948,888.6679923360333,0.0,0.0,0,4.9682243999798334,5.647000240924015e-10,4.9682243999798334,5.647000240924015e-10,-3.0307819014141306,-4.063902745886254e-06
