codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
mimi,Q8,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,0,439.79805536095057,440.0424267517297,439.99999890643517,439.9999989203443,439.79805536095057,440.0424267517297,0.0,0.0,0,0.9616836047311597,5.472708211618874e-08,0.9616836047311597,5.472708211618874e-08,0.1669252186255734,-4.248038008234651e-06
mimi,Q8,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,1,439.6525499639631,440.00514079021093,439.99999890817907,439.99999891358925,439.6525499639631,440.00514079021093,0.0,0.0,0,1.3878518494072607,2.1287153528899714e-08,1.3878518494072607,2.1287153528899714e-08,0.020226952411607674,-4.274616581728104e-06
mimi,Q8,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,2,440.11627556549513,439.8487799509856,439.99999891806067,439.9999989143099,440.11627556549513,439.8487799509856,0.0,0.0,0,-1.0525361823772357,-1.4757737423427693e-08,-1.0525361823772357,-1.4757737423427693e-08,-0.5950961262858829,-4.271780972648458e-06
mimi,Q8,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,3,439.3038321711736,440.20956122206155,439.9999989132737,439.9999989089345,439.3038321711736,440.20956122206155,0.0,0.0,0,3.5656751522030725,-1.7073045963346246e-08,3.5656751522030725,-1.7073045963346246e-08,0.82434807762862,-4.292931275849563e-06
mimi,Q8,24000,20260826,0.0,442.5,442.5,442.5Hz_+09.8c,0,440.3464183112947,441.42688679552475,442.4999989661798,442.49999897623076,440.3464183112947,441.42688679552475,0.0,0.0,0,4.2426885780843,3.9323341704483046e-08,4.2426885780843,3.9323341704483046e-08,-4.2035400406212835,-4.005388060271782e-06
mimi,Q8,24000,20260826,0.0,442.5,442.5,442.5Hz_+09.8c,1,440.4402199002389,440.7177466208258,442.49999897361255,442.4999989705504,440.4402199002389,440.7177466208258,0.0,0.0,0,1.0905280150612364,-1.1980366644598711e-08,1.0905280150612364,-1.1980366644598711e-08,-6.98695635116486,-4.027611831693557e-06
mimi,Q8,24000,20260826,0.0,442.5,442.5,442.5Hz_+09.8c,2,440.4427283544999,440.7642290237199,442.49999897207243,442.49999897870447,440.4427283544999,440.7642290237199,0.0,0.0,0,1.2632513290710004,2.594698585834548e-08,1.2632513290710004,2.594698585834548e-08,-6.804373108691926,-3.9957097399590314e-06
mimi,Q8,24000,20260826,0.0,442.5,442.5,442.5Hz_+09.8c,3,440.87074317140264,441.1793926968521,442.499998974747,442.499998971771,440.87074317140264,441.1793926968521,0.0,0.0,0,1.2115968645475372,-1.164323803933493e-08,1.2115968645475372,-1.164323803933493e-08,-5.1744604425064145,-4.022836291587627e-06
mimi,Q8,24000,20260826,0.0,445.1,445.1,445.1Hz_+20.0c,0,443.38901848485347,442.1788401610602,445.09999784207946,445.0999978380815,443.38901848485347,442.1788401610602,0.0,0.0,0,-4.731660489536625,-1.5550201071948363e-08,-4.731660489536625,-1.5550201071948363e-08,-11.399414522032556,-8.408867545040594e-06
mimi,Q8,24000,20260826,0.0,445.1,445.1,445.1Hz_+20.0c,1,441.83956488425775,444.40929696395057,445.0999978425729,445.09999785348725,441.83956488425775,444.40929696395057,0.0,0.0,0,10.039663423292732,4.2451679890974656e-08,10.039663423292732,4.2451679890974656e-08,-2.6886033866398695,-8.348946298763184e-06
mimi,Q8,24000,20260826,0.0,445.1,445.1,445.1Hz_+20.0c,2,441.15561393759975,442.0222713515209,445.09999784247316,445.09999785359815,441.15561393759975,442.0222713515209,0.0,0.0,0,3.3977012568854197,4.327124452769037e-08,3.3977012568854197,4.327124452769037e-08,-12.012526750461118,-8.34851498941663e-06
mimi,Q8,24000,20260826,0.0,445.1,445.1,445.1Hz_+20.0c,3,441.82124322185786,441.65169448890134,445.0999978404666,445.0999978389384,441.82124322185786,441.65169448890134,0.0,0.0,0,-0.6644879102570314,-5.943957877838784e-09,-0.6644879102570314,-5.943957877838784e-09,-13.464544903698332,-8.405534700089838e-06
mimi,Q8,24000,20260826,0.0,447.7,447.7,447.7Hz_+30.0c,0,445.58529726169775,445.56449251650747,447.70000272808124,447.70000273836774,445.58529726169775,445.56449251650747,0.0,0.0,0,-0.0808346333585266,3.977733130859332e-08,-0.0808346333585266,3.977733130859332e-08,-8.277660965549126,1.0589134498698611e-05
mimi,Q8,24000,20260826,0.0,447.7,447.7,447.7Hz_+30.0c,1,444.76107116906854,447.83830267112387,447.7000027349747,447.70000272250826,444.98581750454997,447.83830267112387,-0.8746049502767322,0.0,0,11.936887287412699,-4.8207084085980346e-08,11.936887287412699,-4.8207084085980346e-08,0.5347270898763777,1.0527806692575943e-05
