codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
mp3,16kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,0,440.00330917290023,440.0019278000231,439.99999890643517,439.9999989203443,440.00330917290023,440.0019278000231,0.0,0.0,0,-0.005435148926087758,5.472708211618874e-08,-0.005435148926087758,5.472708211618874e-08,0.00758514938304503,-4.248038008234651e-06
mp3,16kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,1,439.9952946411979,439.9989760436208,439.99999890817907,439.99999891358925,439.9952946411979,439.9989760436208,0.0,0.0,0,0.014485024357857253,2.1287153528899714e-08,0.014485024357857253,2.1287153528899714e-08,-0.0040288868434243405,-4.274616581728104e-06
mp3,16kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,2,440.0017969245105,439.99298916122234,439.99999891806067,439.9999989143099,440.0017969245105,439.99298916122234,0.0,0.0,0,-0.0346554319233872,-1.4757737423427693e-08,-0.0346554319233872,-1.4757737423427693e-08,-0.027585226141971265,-4.271780972648458e-06
mp3,16kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,3,440.00005806711863,440.0012728092149,439.9999989132737,439.9999989089345,440.00005806711863,440.0012728092149,0.0,0.0,0,0.004779544766747927,-1.7073045963346246e-08,0.004779544766747927,-1.7073045963346246e-08,0.005008016962817822,-4.292931275849563e-06
mp3,16kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,4,439.99818440029816,439.99955531593776,439.9999989199129,439.9999989139952,439.99818440029816,439.99955531593776,0.0,0.0,0,0.005394049840304296,-2.3283785200484923e-08,0.005394049840304296,-2.3283785200484923e-08,-0.001749664951461377,-4.273019161063769e-06
mp3,16kbps,24000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,0,442.55227174381895,442.5517163446842,442.54889767669243,442.5488976862487,442.55227174381895,442.5517163446842,0.0,0.0,0,-0.0021726845789980967,3.738398729911646e-08,-0.0021726845789980967,3.738398729911646e-08,0.011017395584748763,-9.05130493113519e-06
mp3,16kbps,24000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,1,442.5485854726013,442.54927344602413,442.54889768516654,442.54889768237143,442.5485854726013,442.54927344602413,0.0,0.0,0,0.002691325038217188,-1.0934383822566143e-08,0.002691325038217188,-1.0934383822566143e-08,0.0014609056752613314,-9.066472643161878e-06
mp3,16kbps,24000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,2,442.5476854513799,442.554946418786,442.5488976830201,442.54889769041193,442.5476854513799,442.554946418786,0.0,0.0,0,0.02840446644321055,2.891656222733485e-08,0.02840446644321055,2.891656222733485e-08,0.023653193056878647,-9.035018582567662e-06
mp3,16kbps,24000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,3,442.54812335105834,442.54443506285907,442.5488976852228,442.54889768177344,442.54812335105834,442.54443506285907,0.0,0.0,0,-0.014428525136004162,-1.3493793462072164e-08,-0.014428525136004162,-1.3493793462072164e-08,-0.0174667481929474,-9.068811977412807e-06
mp3,16kbps,24000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,4,442.54720885672623,442.55317684435244,442.5488976859962,442.54889768073957,442.54720885672623,442.55317684435244,0.0,0.0,0,0.02334646679610004,-2.0563883893121383e-08,0.02334646679610004,-2.0563883893121383e-08,0.016730767578689694,-9.072856367463596e-06
