codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
encodec_ft_encodec_ft_53tet,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,0,440.0191799650882,440.0240788569314,439.99999890643517,439.9999989203443,440.0191799650882,220.0125722036564,0.0,1199.9958076956323,0,0.019274344247893312,5.472708211618874e-08,0.019274344247893312,5.472708211618874e-08,0.09473862816759863,-4.248038008234651e-06
encodec_ft_encodec_ft_53tet,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,1,440.0281924972748,440.0239516376615,439.99999890817907,439.99999891358925,440.0281924972748,440.0239516376615,0.0,0.0,0,-0.016685194414544524,2.1287153528899714e-08,-0.016685194414544524,2.1287153528899714e-08,0.09423809564169193,-4.274616581728104e-06
encodec_ft_encodec_ft_53tet,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,2,439.94142289560983,439.9887086435221,439.99999891806067,439.9999989143099,439.94142289560983,219.9947568244469,0.0,1199.9968325290924,0,0.18606635678422825,-1.4757737423427693e-08,0.18606635678422825,-1.4757737423427693e-08,-0.044427799138200004,-4.271780972648458e-06
encodec_ft_encodec_ft_53tet,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,3,440.00296439161497,440.0013526660593,439.9999989132737,439.9999989089345,220.00133208636984,440.0013526660593,1200.0011812404878,0.0,0,-0.0063415010714516305,-1.7073045963346246e-08,-0.0063415010714516305,-1.7073045963346246e-08,0.005322222589054558,-4.292931275849563e-06
encodec_ft_encodec_ft_53tet,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,4,439.9777717441693,440.02502893162927,439.9999989199129,439.9999989139952,219.98944986159674,220.0127911879086,1199.995561609437,1199.9978225310906,0,0.1859386174901475,-2.3283785200484923e-08,0.1859386174901475,-2.3283785200484923e-08,0.09847660517709564,-4.273019161063769e-06
encodec_ft_encodec_ft_53tet,3.0kbps,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50.0c,0,452.94318412477594,452.81494883032013,452.8929010465134,452.8929010391853,226.47511947187826,150.95361458226458,1199.9730353648267,1901.779541075477,0,-0.49020881283843526,-2.8012427131366254e-08,-0.49020881283843526,-2.8012427131366254e-08,-0.2980027602097737,3.972402496508183e-06
encodec_ft_encodec_ft_53tet,3.0kbps,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50.0c,1,452.7873187523164,452.8389758359151,452.8929010416567,452.8929010401568,150.95774263937633,150.951932491884,1901.62655799797,1901.8906917927613,0,0.19749979132226883,-5.733684962127663e-09,0.19749979132226883,-5.733684962127663e-09,-0.20614345488356062,3.9761162929140605e-06
encodec_ft_encodec_ft_53tet,3.0kbps,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50.0c,2,452.7796957179003,452.82681431654095,452.8929010469178,452.8929010376845,150.96501931468637,226.41609164103258,1901.5139617082841,1199.9794736518966,0,0.18015180209203133,-3.529528915086247e-08,0.18015180209203133,-3.529528915086247e-08,-0.25263839078407946,3.966665928475366e-06
encodec_ft_encodec_ft_53tet,3.0kbps,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50.0c,3,452.87456350770873,452.870681651218,452.89290104897003,452.8929010538118,226.4411011504238,150.96046158671726,1199.9707989180422,1901.9140855038772,0,-0.014839497455481866,1.8508245105402287e-08,-0.014839497455481866,1.8508245105402287e-08,-0.08493422061215303,4.028313949343033e-06
encodec_ft_encodec_ft_53tet,3.0kbps,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50.0c,4,452.89042104533485,452.729139588849,452.8929010417582,452.89290105219743,150.97542318457744,150.93355229529905,1901.8179705831626,1901.6815406645496,0,-0.6166296843405162,3.990534023168282e-08,-0.6166296843405162,3.990534023168282e-08,-0.6261057933009884,4.022142996677492e-06
encodec_ft_encodec_ft_53tet,3.0kbps,24000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,0,439.93980199714895,441.232053153131,439.9999989194952,441.2726035505878,439.93980199714895,220.61646850007307,0.0,1199.9965321093441,0,5.077762735889755,4.999992042405136,0.07776273588975524,-7.957594863938766e-06,-0.159109905051691,-1.2208973710158361e-05
