codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
encodec_ft_encodec_ft_53tet,3.0kbps,24000,20260826,0.0,220.0,220.0,220Hz_ongrid,0,220.00984043659304,219.9941998081155,220.0000009415277,220.00000094930158,73.34696961241794,109.9666244254573,1901.7105441828248,1200.4797171598466,0,-0.12307881793748332,6.117442643461098e-08,-0.12307881793748332,6.117442643461098e-08,-0.04564373660630233,7.470287440445793e-06
encodec_ft_encodec_ft_53tet,3.0kbps,24000,20260826,0.0,220.0,220.0,220Hz_ongrid,1,219.9946242852779,219.99976144976884,220.00000095285736,220.00000093404702,73.32904086609848,73.33580182886871,1902.0140359322863,1901.894849041323,0,0.04042612529233514,-1.4802309900371682e-07,0.04042612529233514,-1.4802309900371682e-07,-0.001877211393134288,7.350245439582157e-06
encodec_ft_encodec_ft_53tet,3.0kbps,24000,20260826,0.0,220.0,220.0,220Hz_ongrid,2,220.02343024105684,219.98085646953584,220.00000093426038,220.0000009512554,110.0065137633943,109.98277722839788,1200.0818547319407,1200.1204299652306,0,-0.3350202046228862,1.3373780290964094e-07,-0.3350202046228862,1.3373780290964094e-07,-0.1506516990113582,7.485662349952971e-06
encodec_ft_encodec_ft_53tet,3.0kbps,24000,20260826,0.0,220.0,220.0,220Hz_ongrid,3,220.00993579173274,220.00220731449824,220.000000948024,220.00000093736406,73.33784293469536,109.99152568013866,1901.9267280762049,1200.1507479605584,0,-0.06081560769097491,-8.388563118476058e-08,-0.06081560769097491,-8.388563118476058e-08,0.017369812936718392,7.376348111857763e-06
encodec_ft_encodec_ft_53tet,3.0kbps,24000,20260826,0.0,220.0,220.0,220Hz_ongrid,4,220.0117054279483,220.0077537553852,220.00000092156063,220.0000009265217,109.99552096769108,109.99507103149035,1200.1626050843722,1200.138591397179,0,-0.031095307034304794,3.904003066449206e-08,-0.031095307034304794,3.904003066449206e-08,0.06101513083738893,7.291026897483044e-06
encodec_ft_encodec_ft_53tet,3.0kbps,24000,20260826,0.0,226.4,226.4,226.4Hz_+49.6c,0,226.4008483587537,226.35924435601535,226.4000035450309,226.40000335414413,75.46546530530769,75.44746621985229,1901.9890479835076,1902.0838444150081,0,-0.31816526005624207,-1.4596717196304068e-06,-0.31816526005624207,-1.4596717196304068e-06,-0.3116780480045484,2.5648447332869764e-05
encodec_ft_encodec_ft_53tet,3.0kbps,24000,20260826,0.0,226.4,226.4,226.4Hz_+49.6c,1,226.41326535968145,226.40875176992319,226.40000342669546,226.40000335359736,75.46932129441437,75.47147185993201,1901.9955382604037,1901.911693096674,0,-0.03451281067467355,-5.589661470150224e-07,-0.03451281067467355,-5.589661470150224e-07,0.0669216839261397,2.5644266092521868e-05
encodec_ft_encodec_ft_53tet,3.0kbps,24000,20260826,0.0,226.4,226.4,226.4Hz_+49.6c,2,226.38156685825618,226.3355481564511,226.40000353488222,226.40000352080105,75.45802036143658,75.44179041368467,1902.0124015938154,1902.0328455464626,0,-0.35195993741306,-1.0767568591106803e-07,-0.35195993741306,-1.0767568591106803e-07,-0.4929201043970666,2.6922838417516966e-05
encodec_ft_encodec_ft_53tet,3.0kbps,24000,20260826,0.0,226.4,226.4,226.4Hz_+49.6c,3,226.38775775308045,226.3458360477024,226.40000343863628,226.40000361366464,75.45888367271452,75.44369733756076,1902.0399384502684,1902.0677761091615,0,-0.32061364540499554,1.3384055597160729e-06,-0.32061364540499554,1.3384055597160729e-06,-0.41423011071997573,2.763294695677426e-05
encodec_ft_encodec_ft_53tet,3.0kbps,24000,20260826,0.0,226.4,226.4,226.4Hz_+49.6c,4,226.38942291173873,226.23868699444122,226.40000355606318,226.40000346917176,75.46156277755674,75.40537210943253,1901.9912072839445,1902.1277257673376,0,-1.153084204797042,-6.644406945407083e-07,-1.153084204797042,-6.644406945407083e-07,-1.233966903970821,2.6528039684235445e-05
