bin_lo_cents,bin_hi_cents,density
0.00,2.00,0.015982
2.00,4.00,0.017646
4.00,6.00,0.017635
6.00,8.00,0.017876
8.00,10.00,0.017793
10.00,12.00,0.016858
12.00,14.00,0.016347
14.00,16.00,0.014995
16.00,18.00,0.014506
18.00,20.00,0.013837
20.00,22.00,0.013110
22.00,24.00,0.012714
24.00,26.00,0.011387
26.00,28.00,0.010906
28.00,30.00,0.010069
30.00,32.00,0.009651
32.00,34.00,0.009422
34.00,36.00,0.008858
36.00,38.00,0.008896
38.00,40.00,0.008095
40.00,42.00,0.007517
42.00,44.00,0.006958
44.00,46.00,0.006425
46.00,48.00,0.006353
48.00,50.00,0.006052
50.00,52.00,0.005842
52.00,54.00,0.005764
54.00,56.00,0.005477
56.00,58.00,0.005474
58.00,60.00,0.005208
60.00,62.00,0.005764
62.00,64.00,0.005493
64.00,66.00,0.005745
66.00,68.00,0.005587
68.00,70.00,0.005753
70.00,72.00,0.006121
72.00,74.00,0.006303
74.00,76.00,0.006458
76.00,78.00,0.006842
78.00,80.00,0.007514
80.00,82.00,0.007498
82.00,84.00,0.008219
84.00,86.00,0.008844
86.00,88.00,0.009554
88.00,90.00,0.010400
90.00,92.00,0.011423
92.00,94.00,0.012084
94.00,96.00,0.013242
96.00,98.00,0.014309
98.00,100.00,0.015191
