bin_lo_cents,bin_hi_cents,density
0.00,2.00,0.010327
2.00,4.00,0.010732
4.00,6.00,0.010313
6.00,8.00,0.009880
8.00,10.00,0.010347
10.00,12.00,0.010117
12.00,14.00,0.009966
14.00,16.00,0.009707
16.00,18.00,0.009755
18.00,20.00,0.010427
20.00,22.00,0.010703
22.00,24.00,0.010655
24.00,26.00,0.010441
26.00,28.00,0.010515
28.00,30.00,0.010709
30.00,32.00,0.010481
32.00,34.00,0.010248
34.00,36.00,0.010436
36.00,38.00,0.010011
38.00,40.00,0.010649
40.00,42.00,0.010236
42.00,44.00,0.009533
44.00,46.00,0.010120
46.00,48.00,0.009963
48.00,50.00,0.009601
50.00,52.00,0.009308
52.00,54.00,0.009635
54.00,56.00,0.009658
56.00,58.00,0.009940
58.00,60.00,0.009632
60.00,62.00,0.009835
62.00,64.00,0.009652
64.00,66.00,0.009920
66.00,68.00,0.009954
68.00,70.00,0.009920
70.00,72.00,0.009601
72.00,74.00,0.009875
74.00,76.00,0.009889
76.00,78.00,0.009410
78.00,80.00,0.009436
80.00,82.00,0.009390
82.00,84.00,0.009521
84.00,86.00,0.009504
86.00,88.00,0.009604
88.00,90.00,0.009749
90.00,92.00,0.009795
92.00,94.00,0.010342
94.00,96.00,0.009971
96.00,98.00,0.010222
98.00,100.00,0.010362
