bin_lo_cents,bin_hi_cents,density
0.00,2.00,0.009566
2.00,4.00,0.009669
4.00,6.00,0.010125
6.00,8.00,0.009706
8.00,10.00,0.010386
10.00,12.00,0.009911
12.00,14.00,0.010023
14.00,16.00,0.010544
16.00,18.00,0.010144
18.00,20.00,0.010311
20.00,22.00,0.010675
22.00,24.00,0.010498
24.00,26.00,0.010125
26.00,28.00,0.009958
28.00,30.00,0.010973
30.00,32.00,0.011131
32.00,34.00,0.010377
34.00,36.00,0.010293
36.00,38.00,0.010097
38.00,40.00,0.009958
40.00,42.00,0.009697
42.00,44.00,0.010302
44.00,46.00,0.009557
46.00,48.00,0.010731
48.00,50.00,0.010004
50.00,52.00,0.010582
52.00,54.00,0.009808
54.00,56.00,0.009371
56.00,58.00,0.010302
58.00,60.00,0.009874
60.00,62.00,0.009203
62.00,64.00,0.009958
64.00,66.00,0.009808
66.00,68.00,0.009594
68.00,70.00,0.010274
70.00,72.00,0.010284
72.00,74.00,0.009278
74.00,76.00,0.009659
76.00,78.00,0.010284
78.00,80.00,0.009836
80.00,82.00,0.009287
82.00,84.00,0.009613
84.00,86.00,0.009725
86.00,88.00,0.009641
88.00,90.00,0.009380
90.00,92.00,0.010013
92.00,94.00,0.009958
94.00,96.00,0.009855
96.00,98.00,0.009762
98.00,100.00,0.009892
