bin_lo_cents,bin_hi_cents,density
0.00,2.00,0.015481
2.00,4.00,0.014574
4.00,6.00,0.013355
6.00,8.00,0.012225
8.00,10.00,0.012165
10.00,12.00,0.010737
12.00,14.00,0.010589
14.00,16.00,0.010217
16.00,18.00,0.009949
18.00,20.00,0.009354
20.00,22.00,0.010202
22.00,24.00,0.010232
24.00,26.00,0.009518
26.00,28.00,0.008938
28.00,30.00,0.009533
30.00,32.00,0.009235
32.00,34.00,0.008834
34.00,36.00,0.009607
36.00,38.00,0.008819
38.00,40.00,0.008492
40.00,42.00,0.008611
42.00,44.00,0.008507
44.00,46.00,0.008194
46.00,48.00,0.008715
48.00,50.00,0.008284
50.00,52.00,0.008165
52.00,54.00,0.008150
54.00,56.00,0.008581
56.00,58.00,0.008031
58.00,60.00,0.007897
60.00,62.00,0.008343
62.00,64.00,0.008611
64.00,66.00,0.009339
66.00,68.00,0.009696
68.00,70.00,0.009220
70.00,72.00,0.009131
72.00,74.00,0.009726
74.00,76.00,0.009220
76.00,78.00,0.009548
78.00,80.00,0.010529
80.00,82.00,0.010321
82.00,84.00,0.010291
84.00,86.00,0.011273
86.00,88.00,0.010157
88.00,90.00,0.010410
90.00,92.00,0.010663
92.00,94.00,0.010767
94.00,96.00,0.011094
96.00,98.00,0.012239
98.00,100.00,0.014232
