bin_lo_cents,bin_hi_cents,density
0.00,2.00,0.047838
2.00,4.00,0.036655
4.00,6.00,0.024354
6.00,8.00,0.021248
8.00,10.00,0.019632
10.00,12.00,0.018265
12.00,14.00,0.011804
14.00,16.00,0.009319
16.00,18.00,0.006461
18.00,20.00,0.007580
20.00,22.00,0.005840
22.00,24.00,0.003728
24.00,26.00,0.003852
26.00,28.00,0.003728
28.00,30.00,0.003728
30.00,32.00,0.003728
32.00,34.00,0.005591
34.00,36.00,0.003976
36.00,38.00,0.001615
38.00,40.00,0.001988
40.00,42.00,0.002361
42.00,44.00,0.002361
44.00,46.00,0.002858
46.00,48.00,0.002734
48.00,50.00,0.001988
50.00,52.00,0.001988
52.00,54.00,0.001988
54.00,56.00,0.000994
56.00,58.00,0.001615
58.00,60.00,0.002485
60.00,62.00,0.002982
62.00,64.00,0.002112
64.00,66.00,0.002112
66.00,68.00,0.002609
68.00,70.00,0.002237
70.00,72.00,0.003355
72.00,74.00,0.003728
74.00,76.00,0.003479
76.00,78.00,0.004473
78.00,80.00,0.003976
80.00,82.00,0.004100
82.00,84.00,0.005094
84.00,86.00,0.007580
86.00,88.00,0.009443
88.00,90.00,0.012674
90.00,92.00,0.020005
92.00,94.00,0.021123
94.00,96.00,0.029324
96.00,98.00,0.039886
98.00,100.00,0.057406
