bin_lo_cents,bin_hi_cents,density
0.00,2.00,0.039876
2.00,4.00,0.030813
4.00,6.00,0.023779
6.00,8.00,0.019204
8.00,10.00,0.021319
10.00,12.00,0.021794
12.00,14.00,0.016874
14.00,16.00,0.011350
16.00,18.00,0.010703
18.00,20.00,0.007639
20.00,22.00,0.008027
22.00,24.00,0.007725
24.00,26.00,0.006862
26.00,28.00,0.006214
28.00,30.00,0.006603
30.00,32.00,0.006646
32.00,34.00,0.007509
34.00,36.00,0.004661
36.00,38.00,0.004316
38.00,40.00,0.004359
40.00,42.00,0.004013
42.00,44.00,0.003711
44.00,46.00,0.004100
46.00,48.00,0.004445
48.00,50.00,0.004488
50.00,52.00,0.003539
52.00,54.00,0.003496
54.00,56.00,0.003150
56.00,58.00,0.003409
58.00,60.00,0.003366
60.00,62.00,0.002891
62.00,64.00,0.003323
64.00,66.00,0.003539
66.00,68.00,0.003150
68.00,70.00,0.004272
70.00,72.00,0.004100
72.00,74.00,0.003755
74.00,76.00,0.004359
76.00,78.00,0.004574
78.00,80.00,0.004963
80.00,82.00,0.004833
82.00,84.00,0.006387
84.00,86.00,0.006516
86.00,88.00,0.006775
88.00,90.00,0.009710
90.00,92.00,0.011997
92.00,94.00,0.014500
94.00,96.00,0.022182
96.00,98.00,0.031460
98.00,100.00,0.042724
