bin_lo_cents,bin_hi_cents,density
0.00,2.00,0.048859
2.00,4.00,0.037698
4.00,6.00,0.026166
6.00,8.00,0.018725
8.00,10.00,0.018849
10.00,12.00,0.016245
12.00,14.00,0.011161
14.00,16.00,0.010913
16.00,18.00,0.005456
18.00,20.00,0.005580
20.00,22.00,0.005456
22.00,24.00,0.005456
24.00,26.00,0.004216
26.00,28.00,0.003100
28.00,30.00,0.004340
30.00,32.00,0.004092
32.00,34.00,0.006200
34.00,36.00,0.003596
36.00,38.00,0.001860
38.00,40.00,0.002356
40.00,42.00,0.001488
42.00,44.00,0.002852
44.00,46.00,0.003348
46.00,48.00,0.002604
48.00,50.00,0.001612
50.00,52.00,0.002480
52.00,54.00,0.001984
54.00,56.00,0.002108
56.00,58.00,0.002852
58.00,60.00,0.002232
60.00,62.00,0.001984
62.00,64.00,0.002480
64.00,66.00,0.002108
66.00,68.00,0.002232
68.00,70.00,0.002976
70.00,72.00,0.003348
72.00,74.00,0.003100
74.00,76.00,0.003224
76.00,78.00,0.003100
78.00,80.00,0.004588
80.00,82.00,0.003224
82.00,84.00,0.006076
84.00,86.00,0.007688
86.00,88.00,0.009053
88.00,90.00,0.013021
90.00,92.00,0.021329
92.00,94.00,0.022941
94.00,96.00,0.027406
96.00,98.00,0.042039
98.00,100.00,0.054191
