bin_lo_cents,bin_hi_cents,density
0.00,2.00,0.039488
2.00,4.00,0.031505
4.00,6.00,0.026225
6.00,8.00,0.019658
8.00,10.00,0.021461
10.00,12.00,0.022320
12.00,14.00,0.017341
14.00,16.00,0.012190
16.00,18.00,0.010859
18.00,20.00,0.008885
20.00,22.00,0.008026
22.00,24.00,0.007125
24.00,26.00,0.006868
26.00,28.00,0.005451
28.00,30.00,0.006910
30.00,32.00,0.006095
32.00,34.00,0.007082
34.00,36.00,0.004292
36.00,38.00,0.005108
38.00,40.00,0.003648
40.00,42.00,0.003605
42.00,44.00,0.003906
44.00,46.00,0.003777
46.00,48.00,0.003906
48.00,50.00,0.004378
50.00,52.00,0.003734
52.00,54.00,0.003906
54.00,56.00,0.003520
56.00,58.00,0.003605
58.00,60.00,0.003005
60.00,62.00,0.002962
62.00,64.00,0.003391
64.00,66.00,0.003005
66.00,68.00,0.002575
68.00,70.00,0.003734
70.00,72.00,0.003992
72.00,74.00,0.003820
74.00,76.00,0.004550
76.00,78.00,0.004249
78.00,80.00,0.005237
80.00,82.00,0.004335
82.00,84.00,0.005451
84.00,86.00,0.006481
86.00,88.00,0.008069
88.00,90.00,0.009958
90.00,92.00,0.012147
92.00,94.00,0.015452
94.00,96.00,0.021161
96.00,98.00,0.030303
98.00,100.00,0.041248
