bin_lo_cents,bin_hi_cents,density
0.00,2.00,0.051916
2.00,4.00,0.039802
4.00,6.00,0.026823
6.00,8.00,0.019036
8.00,10.00,0.022373
10.00,12.00,0.019283
12.00,14.00,0.011248
14.00,16.00,0.010630
16.00,18.00,0.006304
18.00,20.00,0.006551
20.00,22.00,0.005439
22.00,24.00,0.003832
24.00,26.00,0.002967
26.00,28.00,0.003090
28.00,30.00,0.005192
30.00,32.00,0.004574
32.00,34.00,0.005686
34.00,36.00,0.003337
36.00,38.00,0.002596
38.00,40.00,0.001360
40.00,42.00,0.001854
42.00,44.00,0.001731
44.00,46.00,0.001731
46.00,48.00,0.002472
48.00,50.00,0.001978
50.00,52.00,0.002101
52.00,54.00,0.002225
54.00,56.00,0.000989
56.00,58.00,0.002596
58.00,60.00,0.002472
60.00,62.00,0.001731
62.00,64.00,0.001360
64.00,66.00,0.002225
66.00,68.00,0.001978
68.00,70.00,0.002101
70.00,72.00,0.002843
72.00,74.00,0.003090
74.00,76.00,0.003090
76.00,78.00,0.003090
78.00,80.00,0.003461
80.00,82.00,0.004574
82.00,84.00,0.006180
84.00,86.00,0.008158
86.00,88.00,0.009023
88.00,90.00,0.012361
90.00,92.00,0.017429
92.00,94.00,0.022002
94.00,96.00,0.028183
96.00,98.00,0.042892
98.00,100.00,0.052040
