bin_lo_cents,bin_hi_cents,density
0.00,2.00,0.041656
2.00,4.00,0.036853
4.00,6.00,0.027203
6.00,8.00,0.022181
8.00,10.00,0.022181
10.00,12.00,0.021876
12.00,14.00,0.016156
14.00,16.00,0.012444
16.00,18.00,0.010261
18.00,20.00,0.008471
20.00,22.00,0.006899
22.00,24.00,0.007423
24.00,26.00,0.006637
26.00,28.00,0.006288
28.00,30.00,0.006593
30.00,32.00,0.005458
32.00,34.00,0.006681
34.00,36.00,0.004759
36.00,38.00,0.004628
38.00,40.00,0.004148
40.00,42.00,0.003624
42.00,44.00,0.003624
44.00,46.00,0.003013
46.00,48.00,0.003406
48.00,50.00,0.003449
50.00,52.00,0.003144
52.00,54.00,0.003973
54.00,56.00,0.003057
56.00,58.00,0.002751
58.00,60.00,0.003362
60.00,62.00,0.002664
62.00,64.00,0.003231
64.00,66.00,0.002926
66.00,68.00,0.002926
68.00,70.00,0.002969
70.00,72.00,0.003624
72.00,74.00,0.004104
74.00,76.00,0.003973
76.00,78.00,0.004366
78.00,80.00,0.005065
80.00,82.00,0.004890
82.00,84.00,0.005633
84.00,86.00,0.007554
86.00,88.00,0.006855
88.00,90.00,0.007641
90.00,92.00,0.009606
92.00,94.00,0.015064
94.00,96.00,0.021745
96.00,98.00,0.029430
98.00,100.00,0.043533
