bin_lo_cents,bin_hi_cents,density
0.00,2.00,0.041125
2.00,4.00,0.031973
4.00,6.00,0.022303
6.00,8.00,0.019426
8.00,10.00,0.017095
10.00,12.00,0.015915
12.00,14.00,0.013727
14.00,16.00,0.013181
16.00,18.00,0.010504
18.00,20.00,0.009698
20.00,22.00,0.009411
22.00,24.00,0.008288
24.00,26.00,0.007626
26.00,28.00,0.007972
28.00,30.00,0.007540
30.00,32.00,0.006159
32.00,34.00,0.005698
34.00,36.00,0.005698
36.00,38.00,0.004950
38.00,40.00,0.004605
40.00,42.00,0.004835
42.00,44.00,0.005007
44.00,46.00,0.004864
46.00,48.00,0.003799
48.00,50.00,0.004403
50.00,52.00,0.004000
52.00,54.00,0.003914
54.00,56.00,0.003597
56.00,58.00,0.003741
58.00,60.00,0.004317
60.00,62.00,0.003712
62.00,64.00,0.004346
64.00,66.00,0.004374
66.00,68.00,0.004346
68.00,70.00,0.003799
70.00,72.00,0.003943
72.00,74.00,0.004518
74.00,76.00,0.004576
76.00,78.00,0.004633
78.00,80.00,0.005382
80.00,82.00,0.005238
82.00,84.00,0.005900
84.00,86.00,0.007137
86.00,88.00,0.007511
88.00,90.00,0.007828
90.00,92.00,0.011224
92.00,94.00,0.014994
94.00,96.00,0.018706
96.00,98.00,0.029700
98.00,100.00,0.042765
