lang,group,file,gender,voiced_frames,f0_err_cents,lsd_db
vi_vn,tone,10057024225045006889.wav,MALE,533,10.783096243836363,9.472922634324775
vi_vn,tone,10072308967409148015.wav,MALE,4,9.137516831698928,9.371094897895002
vi_vn,tone,10078277432407694754.wav,MALE,467,12.628932169471604,9.469573175985062
vi_vn,tone,10093159547857080890.wav,MALE,597,13.155907834720846,9.451171835227115
vi_vn,tone,1015279164912843543.wav,MALE,742,10.083274306410445,9.479528163730347
vi_vn,tone,1015563747297542961.wav,MALE,791,13.526000212560714,9.424366661605738
vi_vn,tone,10169179696365895477.wav,MALE,735,8.780803527118888,9.621592656137711
vi_vn,tone,10185666587391780903.wav,MALE,493,13.3470957094607,9.526210483477094
vi_vn,tone,10188670312101823236.wav,MALE,1194,12.438337471619388,9.408696011756591
vi_vn,tone,1020360004532126324.wav,MALE,1062,13.057621501892097,9.376291201922076
vi_vn,tone,10205789067921017036.wav,MALE,417,10.547532380579828,9.555143330994493
vi_vn,tone,10241630228065064831.wav,MALE,912,16.007223937322685,9.486559567200505
vi_vn,tone,10259306006333604242.wav,MALE,247,9.473143147475595,9.74185977462855
vi_vn,tone,10259532564282505455.wav,MALE,962,18.577795155637542,9.468063959283127
vi_vn,tone,10315066330134186872.wav,MALE,804,11.163405798864632,9.468612691012744
vi_vn,tone,10342739006640083455.wav,MALE,682,11.864589814832296,9.547737417582269
vi_vn,tone,10348723993292846786.wav,MALE,0,nan,9.17308708867535
vi_vn,tone,103677662251086347.wav,MALE,596,11.842331925555206,9.529814690037496
vi_vn,tone,1036876241637854415.wav,MALE,6,3.423994502037082,9.18562603629865
vi_vn,tone,10402105561395439139.wav,MALE,683,10.193668761411761,9.483941863635941
vi_vn,tone,10449380600207928518.wav,MALE,1059,11.008448734272154,9.538876969544653
vi_vn,tone,10453290072265880595.wav,MALE,15,19.769908957848273,9.512891898018712
vi_vn,tone,10458632275226443935.wav,MALE,0,nan,9.392256120979088
vi_vn,tone,10473837320520117918.wav,MALE,976,16.387760671372895,9.445896141923916
vi_vn,tone,10531082783264670622.wav,MALE,1038,15.517558214714215,9.45461541377912
vi_vn,tone,10531614475822620460.wav,MALE,987,11.563349503264462,9.64370285370944
vi_vn,tone,10578217408292407263.wav,MALE,372,8.464186357630343,9.608326593567686
vi_vn,tone,10618648079469862393.wav,MALE,1360,15.87740968015769,9.42942283321449
vi_vn,tone,10631977326382455765.wav,MALE,723,11.853713432365845,9.633784107431662
vi_vn,tone,1064415134029413807.wav,MALE,1077,9.889772816365006,9.697847318263136
vi_vn,tone,10671728061564401646.wav,MALE,975,14.93526435437606,9.463210311018786
vi_vn,tone,10684685439757401963.wav,MALE,1582,15.268400569896684,9.329834714449746
vi_vn,tone,10749275134331213732.wav,MALE,303,8.460734761190993,9.5344268674624
vi_vn,tone,1075070731814204468.wav,MALE,494,12.618138374811178,9.601619366149224
vi_vn,tone,10751146797584417593.wav,MALE,346,9.818031291515133,9.443160439582815
vi_vn,tone,10751579734990864351.wav,MALE,8,4.451368460408789,9.314082749164342
vi_vn,tone,10751907101173251895.wav,MALE,440,11.27431275962114,9.484896514962607
vi_vn,tone,10810237292880731030.wav,MALE,268,8.945081125861474,9.547545341052459
vi_vn,tone,10821239110381895043.wav,MALE,598,13.681925027483901,9.571021665933241
vi_vn,tone,10826204555500854553.wav,MALE,468,17.7965256039931,9.572290193880958
vi_vn,tone,10828838602453417649.wav,MALE,142,7.578961974445593,9.543558023690743
vi_vn,tone,10865708684535274985.wav,MALE,1780,14.74174685630986,9.382693989550594
vi_vn,tone,1088021197531323436.wav,MALE,480,10.981404851919017,9.440574111210232
vi_vn,tone,10934091967051776880.wav,MALE,642,10.666115438031825,9.557061077218346
vi_vn,tone,10945777525729584175.wav,MALE,0,nan,9.238161611301107
vi_vn,tone,10970996098314274277.wav,MALE,144,8.486794083670976,9.622349488932205
vi_vn,tone,11041422100213829777.wav,MALE,341,13.752431841122714,9.44282436387976
vi_vn,tone,1104537856130539646.wav,MALE,1023,16.75261835275622,9.409806626684153
vi_vn,tone,11052182461166299983.wav,MALE,830,11.524652896763705,9.526123895109595
vi_vn,tone,1106781061019781398.wav,MALE,766,13.940345574666507,9.538404868520495
vi_vn,tone,11073115628039396251.wav,MALE,633,8.339691350818354,9.59204000181798
vi_vn,tone,11087041613949188337.wav,MALE,999,12.022219905827136,9.509256987947765
vi_vn,tone,11098060233367360519.wav,MALE,418,12.912062267081469,9.793661580717874
vi_vn,tone,11100003200392992335.wav,MALE,520,12.999329195794463,9.532569036304793
vi_vn,tone,11139384777781065720.wav,MALE,171,7.217351931634684,9.540208827713501
vi_vn,tone,11158540918299428613.wav,MALE,279,8.82186333504987,9.632818890076885
vi_vn,tone,11163757285628566794.wav,MALE,819,11.790090542600423,9.587578892257813
vi_vn,tone,11166288458925932654.wav,MALE,438,8.85705442026943,9.448569597243065
vi_vn,tone,11192011819506936629.wav,MALE,74,10.069764455341847,9.49668195204437
vi_vn,tone,11223416143121672391.wav,MALE,1276,13.476973986390263,9.50694034513952
vi_vn,tone,11230248186415430036.wav,MALE,387,12.084932041797497,9.524318033331191
vi_vn,tone,11236451878010754409.wav,MALE,587,11.470031603306476,9.472830654881342
vi_vn,tone,11253569361880612464.wav,MALE,896,16.70755954561049,9.516836204790748
vi_vn,tone,11294540912606279849.wav,MALE,534,11.678096837313598,9.612840388842274
vi_vn,tone,11315518524428693646.wav,MALE,477,15.127856889069736,9.565238756390919
vi_vn,tone,11316625460955163618.wav,MALE,9,8.847273634273224,9.200263080223534
vi_vn,tone,11330537985623646875.wav,MALE,653,15.355464870117315,9.551065783355268
vi_vn,tone,11341242076987383094.wav,MALE,979,16.36475127075198,9.532357998099478
vi_vn,tone,11421402177781552960.wav,MALE,746,12.008066994468566,9.441756520053358
vi_vn,tone,11450293425955231943.wav,MALE,716,15.691706617991672,9.535915492918965
vi_vn,tone,11453780126561418607.wav,MALE,447,11.937312076057882,9.66226574182145
vi_vn,tone,11453833847884158456.wav,MALE,480,13.911623614214044,9.454970640461317
vi_vn,tone,11456470895740119515.wav,MALE,628,11.871461699709165,9.541406900221693
vi_vn,tone,11460046455704242163.wav,MALE,866,13.610354335269072,9.532714982757806
vi_vn,tone,11489843034381096521.wav,MALE,919,14.504065716357342,9.539073960581735
vi_vn,tone,11538048669768928262.wav,MALE,607,13.680234004508158,9.576080980631474
vi_vn,tone,11550947945546712731.wav,MALE,629,13.223755383099242,9.51850248827571
vi_vn,tone,11595830277981788585.wav,MALE,689,11.822811895523925,9.530442095491974
vi_vn,tone,11598357094682861067.wav,MALE,1600,17.587201360530358,9.398870205079293
vi_vn,tone,11601077082806576373.wav,MALE,0,nan,9.143084893174741
vi_vn,tone,11602421017918396519.wav,MALE,527,12.9208008423489,9.45914913898742
vi_vn,tone,11631605127091048384.wav,MALE,990,12.624014210374401,9.577298369293947
vi_vn,tone,11662569108912717852.wav,MALE,607,11.75240015947356,9.54779760205151
vi_vn,tone,11672619076350815814.wav,MALE,276,10.463966613157314,9.457515016662933
vi_vn,tone,1170717595990824282.wav,MALE,472,14.014594147383189,9.513101280800452
vi_vn,tone,11713929120899460425.wav,MALE,684,12.159518481903294,9.38097721249905
vi_vn,tone,11717700058313745639.wav,MALE,1353,12.979704771724334,9.521036872511575
vi_vn,tone,1173834242528950394.wav,MALE,89,8.988781745320205,9.573441495316155
vi_vn,tone,11761453195300776652.wav,MALE,642,12.124405505366614,9.4919507670311
vi_vn,tone,11765686285773461217.wav,MALE,558,10.03765228193871,9.716964379994156
vi_vn,tone,11806133943011932690.wav,MALE,2820,16.965537831322774,9.544812570820643
vi_vn,tone,11839499744584457445.wav,MALE,457,13.050222516477112,9.566651370741244
vi_vn,tone,1184420591726507420.wav,MALE,431,12.498449487710246,9.53153563342756
vi_vn,tone,11865440625930247388.wav,MALE,77,6.577658670244648,9.517708476409016
vi_vn,tone,11880209235460541672.wav,MALE,523,12.676403555506294,9.626952772935347
vi_vn,tone,11884353831059896293.wav,MALE,628,10.92535734743866,9.685355043081888
vi_vn,tone,11967436547438172966.wav,MALE,337,11.034775676260253,9.939232510599842
vi_vn,tone,11979962168673618430.wav,MALE,631,13.17736063286108,9.536529864387212
vi_vn,tone,11991223819472939721.wav,MALE,816,13.312001216165404,9.53490529837489
vi_vn,tone,12013948925764266263.wav,MALE,1,2.201369886631709,9.299171668813052
vi_vn,tone,12028399150700370972.wav,MALE,536,12.053896852692144,9.584047828980044
vi_vn,tone,12064850187674963207.wav,MALE,708,12.676928662907901,9.63011353727234
vi_vn,tone,12080327202655068621.wav,MALE,1370,15.668202720248827,9.468648888883289
vi_vn,tone,12082001259535908107.wav,MALE,13,11.425104346258767,9.153030468290373
vi_vn,tone,12103061109919769542.wav,MALE,1289,15.16866155593163,9.358244103286733
vi_vn,tone,12152622186191596467.wav,MALE,357,9.191440481423712,9.646535702386409
vi_vn,tone,12156684650493583216.wav,MALE,386,10.921521076403227,9.41250227512285
vi_vn,tone,1216952660621922687.wav,MALE,474,13.361652956671742,9.673461187860525
vi_vn,tone,12173157523480581032.wav,MALE,353,11.109756536966728,9.777371477938727
vi_vn,tone,12189153065260610544.wav,MALE,122,6.2241503916607375,9.56038153325417
vi_vn,tone,12238542883771465392.wav,MALE,1493,17.04999486501494,9.45742445600198
vi_vn,tone,12248278775709569896.wav,MALE,961,11.031084692680965,9.331035480194005
vi_vn,tone,12262692004800396294.wav,MALE,387,9.901172393376275,9.584453247375015
vi_vn,tone,12277091040477498402.wav,MALE,173,11.400510071927343,9.618115153323249
vi_vn,tone,12294378439351664917.wav,MALE,677,9.533863293967459,9.484553638157902
vi_vn,tone,12307827640123726254.wav,MALE,1424,12.533826571854693,9.451673249394226
vi_vn,tone,12310002883541084788.wav,MALE,597,10.107733281935875,9.351671717406884
vi_vn,tone,12362495735385342486.wav,MALE,732,13.393427257710696,9.475996738174448
vi_vn,tone,12364273712888484717.wav,MALE,11,11.581073999846735,9.370022433778948
vi_vn,tone,12395245262321340558.wav,MALE,1920,15.337306270540882,9.577351912364236
vi_vn,tone,12404143284031174702.wav,MALE,1223,13.909608182673253,9.5096533349977
vi_vn,tone,12426748956553466325.wav,MALE,5,27.3008540665349,9.30427125231549
vi_vn,tone,12432449224075523646.wav,MALE,740,14.165284237862055,9.416057984991294
vi_vn,tone,12458508812011896602.wav,MALE,702,12.872383654209383,9.59380152772799
vi_vn,tone,12459093079418282603.wav,MALE,427,9.443646269538219,9.68037640911461
vi_vn,tone,12468786784926900017.wav,MALE,680,12.753612468700085,9.427647756703582
vi_vn,tone,12497308397150899051.wav,MALE,2,4.557106648425801,9.444882673763995
vi_vn,tone,12507985491009086913.wav,MALE,292,11.018818340490842,9.593481758944716
vi_vn,tone,12509607716263541086.wav,MALE,625,13.249012910627332,9.623677758421081
vi_vn,tone,12520614282124979948.wav,MALE,442,11.13010612825303,9.493215931309974
vi_vn,tone,1253506738135262887.wav,MALE,600,12.105469359132048,9.510507103210381
vi_vn,tone,12566628545795661139.wav,MALE,632,11.796877499202182,9.675603255909564
vi_vn,tone,12576275102643050505.wav,MALE,5,12.173367194035563,9.500118862706241
vi_vn,tone,12581820950549690545.wav,MALE,353,13.264206896154763,9.499643340725141
vi_vn,tone,12582430485917821806.wav,MALE,472,12.771237956127736,9.45964404588011
vi_vn,tone,12604341100268521310.wav,MALE,867,10.704628564172763,9.747263235337787
vi_vn,tone,12625545023967880866.wav,MALE,719,12.629414154059086,9.463476268749076
vi_vn,tone,12670767106992780263.wav,MALE,370,9.124391289204866,9.580307764224782
vi_vn,tone,12706544329768734968.wav,MALE,8,6.8338446306815515,9.351366389995846
vi_vn,tone,12740622559749389835.wav,MALE,852,14.676739332635893,9.51259358280167
vi_vn,tone,12798502384788001776.wav,MALE,704,13.045883288296896,9.66102266945091
vi_vn,tone,12823418236780414010.wav,MALE,645,16.421469153788372,9.444048614937927
vi_vn,tone,12858037995647160612.wav,MALE,345,8.835740360647598,9.537341816844771
vi_vn,tone,12858254046189091722.wav,MALE,354,9.494124736553841,9.452042530955428
vi_vn,tone,12868310947310595778.wav,MALE,5,13.985882573344211,9.424522557926931
vi_vn,tone,12870657653623570389.wav,MALE,820,13.951615169294465,9.445030208220553
vi_vn,tone,12891647545009319241.wav,MALE,1029,15.204873181329464,9.429381447082523
vi_vn,tone,12900897414071603774.wav,MALE,555,13.454620155104644,9.594659189135385
vi_vn,tone,12906191947942246334.wav,MALE,0,nan,9.339938380178218
vi_vn,tone,12938753757245337215.wav,MALE,759,13.53011249917292,9.474303860739798
th_th,tone,10021525843523202225.wav,FEMALE,530,20.48100157537183,9.865072466586922
th_th,tone,10026868752543983818.wav,FEMALE,455,15.314067776621082,9.797551732736807
th_th,tone,10039458165040799931.wav,FEMALE,609,22.84544296975737,9.827017103407153
th_th,tone,1007571455564489221.wav,FEMALE,675,20.047937898792554,9.988867312252772
th_th,tone,10084130310330574566.wav,FEMALE,492,21.655879541513606,9.862091766073629
th_th,tone,10101128707722413083.wav,FEMALE,64,19.317338710361742,9.62303812838136
th_th,tone,10105312761033339989.wav,FEMALE,206,16.687887122871082,9.836775283740101
th_th,tone,1015499225257626992.wav,FEMALE,739,20.454473820500542,9.904977909978975
th_th,tone,10169675868821705996.wav,FEMALE,679,10.500595061805402,9.999935360674506
th_th,tone,1019167928630402440.wav,FEMALE,876,23.234497536837942,9.946913401899598
th_th,tone,1019248392636387261.wav,FEMALE,360,11.156077557342128,9.57750793053759
th_th,tone,10216551269307861857.wav,FEMALE,418,14.80043711378003,9.913157937458061
th_th,tone,10219732965302371541.wav,FEMALE,266,13.208152846952038,9.970568977698624
th_th,tone,10223156761300860880.wav,FEMALE,275,9.074592894706534,9.587233451872653
th_th,tone,10233948161307563280.wav,FEMALE,243,24.422797239352818,9.775113479525572
th_th,tone,10237649933703760482.wav,FEMALE,521,26.13872805684668,9.776780383821873
th_th,tone,10238045899288506400.wav,FEMALE,103,14.393352844956155,9.773410758451316
th_th,tone,10248360673750680732.wav,FEMALE,316,10.580594693035252,9.587101466092406
th_th,tone,10254386637478850663.wav,FEMALE,527,17.703483074943982,9.723632568831214
th_th,tone,1026328125434336525.wav,FEMALE,138,9.082231641878534,9.665909956253191
th_th,tone,10281471544454650617.wav,FEMALE,947,18.96976768166048,9.682664201633166
th_th,tone,10281772796474355231.wav,FEMALE,339,18.92709106132221,9.687492912635184
th_th,tone,10282461223805481506.wav,FEMALE,624,18.20349148669895,9.834070558026275
th_th,tone,10298102842969090649.wav,FEMALE,260,10.526352966137448,9.703840479128012
th_th,tone,1032427344821915583.wav,FEMALE,561,19.863483043466683,9.876787806561078
th_th,tone,10334604006572678758.wav,FEMALE,396,16.805278091153603,9.947226970370624
th_th,tone,10335124731606409859.wav,FEMALE,745,20.54601319395356,9.770959608175836
th_th,tone,10347911827388141257.wav,FEMALE,162,12.090589501251994,9.938791721888586
th_th,tone,10363030037687949251.wav,FEMALE,279,19.141551032959573,9.618466773481689
th_th,tone,10403039577417520332.wav,FEMALE,331,15.814075739767803,9.817522387336185
th_th,tone,10415743154273186089.wav,FEMALE,733,9.788568543253302,9.899601637168498
th_th,tone,10431521929338224517.wav,FEMALE,648,11.685450386194377,10.160887102456424
th_th,tone,10464708231492140124.wav,FEMALE,86,9.80530883861578,9.690106921367454
th_th,tone,10480952129573790261.wav,FEMALE,332,9.971950106073237,9.63908698119994
th_th,tone,10487848084648095852.wav,FEMALE,1060,10.776297192531954,9.785202206412926
th_th,tone,10494584835792353764.wav,FEMALE,134,11.471931079049739,9.638587747083545
th_th,tone,10605422399975955688.wav,FEMALE,44,8.971948559127327,9.480335493073138
th_th,tone,10606383130970807512.wav,FEMALE,428,21.963661339319373,9.88483137877753
th_th,tone,10620405667670427200.wav,FEMALE,296,13.280470868545809,9.64188843729896
th_th,tone,10630757502437535302.wav,FEMALE,612,21.080010288682054,9.840197151066107
th_th,tone,10636204339672103461.wav,FEMALE,869,10.492484871089577,9.741518652830472
th_th,tone,10653342521784165841.wav,FEMALE,447,18.29763012358355,9.749021628377246
th_th,tone,10655452368413888498.wav,FEMALE,440,19.16704120118404,9.694849373186598
th_th,tone,10673311852776302816.wav,FEMALE,236,11.720882635511103,9.712931861008125
th_th,tone,10674854209139435198.wav,FEMALE,291,12.784371371663376,9.908499948538303
th_th,tone,10712795015230838594.wav,FEMALE,620,8.978101352801572,9.904334168950463
th_th,tone,10754337318298717029.wav,FEMALE,212,8.594912658896842,9.559620314747821
th_th,tone,10777400066482784951.wav,FEMALE,164,11.575508798710894,9.897513292272297
th_th,tone,10806101501042932703.wav,FEMALE,0,nan,9.10965903613615
th_th,tone,10814036301037044656.wav,FEMALE,129,11.015963126090895,9.685789052647344
th_th,tone,10817866832102011221.wav,FEMALE,636,23.398514018320775,9.722078444091222
th_th,tone,10854223869356741294.wav,FEMALE,316,20.93815201261083,10.01923799484681
th_th,tone,10856757940579929959.wav,FEMALE,632,17.56199094628503,9.828593933499352
th_th,tone,10860442629710007115.wav,FEMALE,242,16.89958794539697,9.80627785636274
th_th,tone,10891890377908177736.wav,FEMALE,310,22.832503825432713,9.771785882148476
th_th,tone,10903578418615039339.wav,FEMALE,126,9.402693175823927,9.505284989408842
th_th,tone,1092335911444815011.wav,FEMALE,95,14.28479522540368,9.774527641117245
th_th,tone,10923716250658588316.wav,FEMALE,333,9.182559073096721,9.631888058204105
th_th,tone,10943003730620939627.wav,FEMALE,231,9.227097720846322,9.765211272875725
th_th,tone,10965265269058624332.wav,FEMALE,814,19.748462199068825,9.782578327466243
th_th,tone,10965445226580523202.wav,FEMALE,470,21.12867082055187,9.763502853269763
th_th,tone,10993366174322153571.wav,FEMALE,700,26.278245930328513,10.017641723233032
th_th,tone,10996373080308442127.wav,FEMALE,450,11.163560627006495,9.748026070013143
th_th,tone,11067082515718647802.wav,FEMALE,810,25.502182901274296,9.844457668405585
th_th,tone,11069126585927680973.wav,FEMALE,273,12.400249436630924,9.926552582371142
th_th,tone,11075400783402805173.wav,FEMALE,465,11.90686804109789,9.748858767433115
th_th,tone,11100232873415961749.wav,FEMALE,474,33.81451145433325,9.82396982792539
th_th,tone,11118024410757808250.wav,FEMALE,242,19.619299858952374,10.053724901057938
th_th,tone,11121881307731829441.wav,FEMALE,211,10.334454921972924,9.72293131065705
th_th,tone,11129215957562198536.wav,FEMALE,127,13.36772862622361,9.731872521086455
th_th,tone,11179921610482087637.wav,FEMALE,485,20.930195163485784,9.839414475492752
th_th,tone,11182578007668220495.wav,FEMALE,205,11.227056784286287,9.822715603891979
th_th,tone,11189800708223359072.wav,FEMALE,356,17.58410987872053,9.770600422242502
th_th,tone,11193424627564761697.wav,FEMALE,656,19.925621829824383,9.715711398022602
th_th,tone,1120134408740115972.wav,FEMALE,63,16.275494848043586,9.949693174867356
th_th,tone,11202601780881873635.wav,FEMALE,99,18.78047433660471,9.86840971674707
th_th,tone,11207536028344080365.wav,FEMALE,280,9.784750182243016,9.757241493317498
th_th,tone,11232396868778129017.wav,FEMALE,244,19.446405355383693,9.881374274516165
th_th,tone,11242970885386071809.wav,FEMALE,424,17.210193470458,9.630665483192244
th_th,tone,11247275638256746128.wav,FEMALE,157,15.745951435460448,9.832437238978127
th_th,tone,11280095106050130307.wav,FEMALE,110,14.166033676435523,9.913431122234504
th_th,tone,11294434133272203217.wav,FEMALE,868,24.36924705955814,9.857538650182796
th_th,tone,11309181078225502057.wav,FEMALE,82,15.662390222776725,9.73585602599189
th_th,tone,11320886429458747754.wav,FEMALE,137,9.275751029525512,9.585912144031962
th_th,tone,11334528086211148801.wav,FEMALE,307,16.037083061891583,9.976486594599336
th_th,tone,11349217938874330864.wav,FEMALE,228,15.655916010428143,9.973701552718593
th_th,tone,11363085877584304857.wav,FEMALE,577,11.365717570975617,9.941772006240734
th_th,tone,11376776815686615748.wav,FEMALE,46,9.248585085028157,9.570068485809736
th_th,tone,1139308213894753286.wav,FEMALE,356,24.413058770300804,9.694241250004577
th_th,tone,11403435690568498735.wav,FEMALE,361,12.36215198206315,9.919811150635589
th_th,tone,1140747762152948404.wav,FEMALE,83,13.42828691602585,9.912962997618731
th_th,tone,11417564542259385496.wav,FEMALE,571,12.111646917146901,9.974616341195556
th_th,tone,11429933933643056025.wav,FEMALE,360,25.29407472109861,9.68868186475034
th_th,tone,11440223030734575625.wav,FEMALE,323,10.884255485530211,9.921088261101792
th_th,tone,11441225793987693059.wav,FEMALE,388,14.27312010644241,9.903177295107772
th_th,tone,11461393138440653635.wav,FEMALE,592,10.170310730160082,9.827864685026672
th_th,tone,11483685919138109784.wav,FEMALE,859,18.6223822235315,9.833792451349996
th_th,tone,11505019023768003550.wav,FEMALE,419,10.467014662866926,9.90407684121944
th_th,tone,11517667143680526323.wav,FEMALE,792,21.97466801711546,9.940968690759984
th_th,tone,1152233833617670396.wav,FEMALE,597,19.832160161315805,9.89764814686818
th_th,tone,11535681910822974139.wav,FEMALE,70,10.590885474460475,9.760705813097964
th_th,tone,1154606669844496782.wav,FEMALE,134,10.346318177305331,9.488239453234128
th_th,tone,11559893457595283546.wav,FEMALE,85,12.526928198034543,9.894423712406947
th_th,tone,11585494603521871185.wav,FEMALE,154,10.18336852690379,9.704813083493388
th_th,tone,11611258961970983805.wav,FEMALE,164,15.323097047539136,9.807513135016032
th_th,tone,11615136660157611977.wav,FEMALE,306,15.14612461561503,9.71336330962963
th_th,tone,11623865936611485796.wav,FEMALE,631,19.487299619600094,9.844077134586254
th_th,tone,11629782361114955188.wav,FEMALE,486,9.61030684918575,9.90586004437073
th_th,tone,11635440547585236938.wav,FEMALE,197,11.774578078071826,9.768547140145337
th_th,tone,11650042979040323841.wav,FEMALE,375,10.254196265926844,9.807660927121638
th_th,tone,11651580432035802486.wav,FEMALE,533,16.987225184191068,9.869473977734748
