lang,group,file,gender,voiced_frames,f0_err_cents,lsd_db
vi_vn,tone,10057024225045006889.wav,MALE,535,12.971791796027436,11.661674242397492
vi_vn,tone,10072308967409148015.wav,MALE,3,11.128563703811063,17.89537478405719
vi_vn,tone,10078277432407694754.wav,MALE,470,13.248114511879798,11.635442984831093
vi_vn,tone,10093159547857080890.wav,MALE,624,12.331195748341951,11.490924359860001
vi_vn,tone,1015279164912843543.wav,MALE,765,9.569273046092512,11.753953666062134
vi_vn,tone,1015563747297542961.wav,MALE,872,16.530826659786314,11.93540197041857
vi_vn,tone,10169179696365895477.wav,MALE,845,10.430476399505014,12.632529956791497
vi_vn,tone,10185666587391780903.wav,MALE,502,10.320587195498186,11.533815330950071
vi_vn,tone,10188670312101823236.wav,MALE,1291,11.491304780965297,12.208305492548027
vi_vn,tone,1020360004532126324.wav,MALE,1109,13.821106022988504,11.982073904939245
vi_vn,tone,10205789067921017036.wav,MALE,424,16.836138389138124,12.821095679573483
vi_vn,tone,10241630228065064831.wav,MALE,942,17.78685356835757,12.15957397451784
vi_vn,tone,10259306006333604242.wav,MALE,249,13.326495756969802,14.315896335347576
vi_vn,tone,10259532564282505455.wav,MALE,1013,18.606377184440106,11.936070826451425
vi_vn,tone,10315066330134186872.wav,MALE,804,10.42342237850615,11.66403628102976
vi_vn,tone,10342739006640083455.wav,MALE,695,12.910269158069163,11.443879725201725
vi_vn,tone,10348723993292846786.wav,MALE,0,nan,15.031289069385412
vi_vn,tone,103677662251086347.wav,MALE,604,10.701919427456929,11.46709066874657
vi_vn,tone,1036876241637854415.wav,MALE,14,8.762180270155543,15.01432434347687
vi_vn,tone,10402105561395439139.wav,MALE,695,12.64245049988488,12.198614537304584
vi_vn,tone,10449380600207928518.wav,MALE,1084,12.181518923029204,11.441852871355167
vi_vn,tone,10453290072265880595.wav,MALE,44,13.841837794773477,14.660817171065483
vi_vn,tone,10458632275226443935.wav,MALE,0,nan,14.67159525668766
vi_vn,tone,10473837320520117918.wav,MALE,1033,17.48409056737593,11.991487486842804
vi_vn,tone,10531082783264670622.wav,MALE,1167,16.16066381668949,11.953909080620917
vi_vn,tone,10531614475822620460.wav,MALE,996,14.348175890690435,11.61486278146665
vi_vn,tone,10578217408292407263.wav,MALE,405,10.603952363097711,15.136568812403262
vi_vn,tone,10618648079469862393.wav,MALE,1451,16.134848309742168,11.864465161865557
vi_vn,tone,10631977326382455765.wav,MALE,734,14.35810021679345,12.312760894063125
vi_vn,tone,1064415134029413807.wav,MALE,1096,13.521061147470293,12.063281364800496
vi_vn,tone,10671728061564401646.wav,MALE,1009,15.81700564823759,12.149384680989908
vi_vn,tone,10684685439757401963.wav,MALE,1701,15.081645275049697,12.24970867602176
vi_vn,tone,10749275134331213732.wav,MALE,330,10.370848653472185,13.195688342943344
vi_vn,tone,1075070731814204468.wav,MALE,534,15.831910413916217,12.344008582236233
vi_vn,tone,10751146797584417593.wav,MALE,348,10.86058765374905,11.753709620599988
vi_vn,tone,10751579734990864351.wav,MALE,21,10.547557011587532,15.347794436299118
vi_vn,tone,10751907101173251895.wav,MALE,444,12.369344170105746,11.49273561733256
vi_vn,tone,10810237292880731030.wav,MALE,309,13.883300291293905,14.332435579050113
vi_vn,tone,10821239110381895043.wav,MALE,618,13.631893619304188,11.456578767058257
vi_vn,tone,10826204555500854553.wav,MALE,502,15.544300998857324,11.42179893270932
th_th,tone,10021525843523202225.wav,FEMALE,553,17.164965599442343,11.7014737306245
th_th,tone,10026868752543983818.wav,FEMALE,493,17.133511176655844,11.717172288704425
th_th,tone,10039458165040799931.wav,FEMALE,665,23.07836595739192,11.659369487036262
th_th,tone,1007571455564489221.wav,FEMALE,708,22.449304092878812,11.632839057382158
th_th,tone,10084130310330574566.wav,FEMALE,524,20.85743652000734,11.561655938291329
th_th,tone,10101128707722413083.wav,FEMALE,119,16.64792001778772,13.044658437888756
th_th,tone,10105312761033339989.wav,FEMALE,238,17.332050957126953,12.72237091799933
th_th,tone,1015499225257626992.wav,FEMALE,765,22.28773180326762,11.808042094981143
th_th,tone,10169675868821705996.wav,FEMALE,702,11.933804385651339,13.182148077756583
th_th,tone,1019167928630402440.wav,FEMALE,897,27.063010344229685,11.36399253188208
th_th,tone,1019248392636387261.wav,FEMALE,466,10.766243225667647,13.605760371628557
th_th,tone,10216551269307861857.wav,FEMALE,505,14.4284345684488,12.191457774320362
th_th,tone,10219732965302371541.wav,FEMALE,427,15.474626459192633,12.417817318632203
th_th,tone,10223156761300860880.wav,FEMALE,394,9.854102393288764,13.790764166301567
th_th,tone,10233948161307563280.wav,FEMALE,251,23.724680477257984,11.772306820608428
th_th,tone,10237649933703760482.wav,FEMALE,533,21.802598068961487,11.57344763638614
th_th,tone,10238045899288506400.wav,FEMALE,123,10.826842971277697,12.718910923790487
th_th,tone,10248360673750680732.wav,FEMALE,404,12.693622053933248,13.830068391779314
th_th,tone,10254386637478850663.wav,FEMALE,547,20.11103350049858,12.07053371866394
th_th,tone,1026328125434336525.wav,FEMALE,260,10.6117591330564,13.525984202681949
th_th,tone,10281471544454650617.wav,FEMALE,1031,19.58525466707531,11.832792594266092
th_th,tone,10281772796474355231.wav,FEMALE,398,21.05660301120969,11.40532247101096
th_th,tone,10282461223805481506.wav,FEMALE,643,18.58669537294788,11.478897718895624
th_th,tone,10298102842969090649.wav,FEMALE,397,13.298391035885016,12.730020360231064
th_th,tone,1032427344821915583.wav,FEMALE,605,21.615619436668023,11.835022786606574
th_th,tone,10334604006572678758.wav,FEMALE,453,17.86534662420098,11.822069969575452
th_th,tone,10335124731606409859.wav,FEMALE,780,21.488697079158477,11.722226416999305
th_th,tone,10347911827388141257.wav,FEMALE,212,15.312744857136433,12.581242499721647
th_th,tone,10363030037687949251.wav,FEMALE,311,22.34248161042311,11.799131749042207
th_th,tone,10403039577417520332.wav,FEMALE,361,22.36596771395961,11.74515016551468
th_th,tone,10415743154273186089.wav,FEMALE,829,12.820495286931553,12.643836082961926
th_th,tone,10431521929338224517.wav,FEMALE,739,13.207595196122497,12.345958807909492
th_th,tone,10464708231492140124.wav,FEMALE,114,14.51884945537019,14.283065000696212
th_th,tone,10480952129573790261.wav,FEMALE,426,9.366385936882173,13.557274902901508
th_th,tone,10487848084648095852.wav,FEMALE,1252,13.090245842113417,12.947568739135825
th_th,tone,10494584835792353764.wav,FEMALE,191,13.390610655146691,13.534769840908595
th_th,tone,10605422399975955688.wav,FEMALE,62,12.415910908796398,16.029412329682778
th_th,tone,10606383130970807512.wav,FEMALE,466,17.756717998269167,11.813940650241276
