codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
encodec,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,0,440.13591683776144,439.90803988065255,439.99999890643517,439.9999989203443,440.13591683776144,439.90803988065255,0.0,0.0,0,-0.8965651157536185,5.472708211618874e-08,-0.8965651157536185,5.472708211618874e-08,-0.36186620222663923,-4.248038008234651e-06
encodec,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,1,439.8496478986006,439.9891487171192,439.99999890817907,439.99999891358925,439.8496478986006,439.9891487171192,0.0,0.0,0,0.5489836771115842,2.1287153528899714e-08,0.5489836771115842,2.1287153528899714e-08,-0.042696231942483356,-4.274616581728104e-06
encodec,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,2,440.10001523928673,439.959419913575,439.99999891806067,439.9999989143099,440.10001523928673,439.959419913575,0.0,0.0,0,-0.5531522244067846,-1.4757737423427693e-08,-0.5531522244067846,-1.4757737423427693e-08,-0.159674698157624,-4.271780972648458e-06
encodec,3.0kbps,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,0,450.06905726661535,450.5033676948532,452.8929010465134,452.8929010391853,449.9339875967695,450.25226797781346,0.5196364935064895,0.9652171441282328,0,1.6698114192265783,-2.8012427131366254e-08,1.6698114192265783,-2.8012427131366254e-08,-9.158437960238887,3.972402496508183e-06
encodec,3.0kbps,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,1,449.94242967950515,449.47800968876675,452.8929010416567,452.8929010401568,449.94242967950515,448.75677252166395,0.0,2.78018761734081,0,-1.787861910398363,-5.733684962127663e-09,-1.787861910398363,-5.733684962127663e-09,-13.103265053971239,3.9761162929140605e-06
encodec,3.0kbps,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,2,448.18151612868394,450.07515230240085,452.8929010469178,452.8929010376845,448.18151612868394,450.07515230240085,0.0,0.0,0,7.299321880283263,-3.529528915086247e-08,7.299321880283263,-3.529528915086247e-08,-10.80480439505054,3.966665928475366e-06
encodec,3.0kbps,24000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,0,439.8771195872387,440.69500318184237,439.9999989194952,441.2726035505878,439.8771195872387,440.69500318184237,0.0,0.0,0,3.2159735647129724,4.999992042405136,-1.7840264352870276,-7.957594863938766e-06,-2.2675820390933645,-1.2208973710158361e-05
encodec,3.0kbps,24000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,1,439.899324104784,440.9173743734459,439.99999891724445,441.2726035387518,439.899324104784,440.9173743734459,0.0,0.0,0,4.001931563369714,4.999992004825387,-0.9980684366302857,-7.995174613029121e-06,-1.3942354382496527,-1.2255409620057808e-05
encodec,3.0kbps,24000,20260826,5.0,440.0,441.2726066625215,440Hz_ongrid,2,439.8184712263197,440.5123687145115,439.99999891499056,441.2726035591435,439.8184712263197,440.5123687145115,0.0,0.0,0,2.7291994155015455,4.999992093695618,-2.2708005844984545,-7.906304381855023e-06,-2.9851952207060317,-1.2175407502261169e-05
encodec,3.0kbps,24000,20260826,5.0,452.8929,454.2027966407925,452.9Hz_+50c,0,449.7983192798301,455.2227677435863,452.89290104729764,454.20279597260856,449.7983192798301,455.2227677435863,0.0,0.0,0,20.753333753804473,4.999993449744951,15.753333753804473,-6.550255048587417e-06,3.8833512313066,-2.5468420866386073e-06
