cents,f0,rep,q0_mode,q0_nuniq,q1_mode,q1_nuniq,q2_mode,q2_nuniq,q3_mode,q3_nuniq
0.0,220.0,0,630,14,413,6,696,16,59,23
0.0,220.0,1,19,14,413,6,538,19,948,19
0.0,220.0,2,763,16,413,4,418,22,343,19
2.0,220.2543008278412,0,630,15,413,7,66,22,343,29
2.0,220.2543008278412,1,725,14,413,7,397,26,32,30
2.0,220.2543008278412,2,19,11,413,6,42,21,925,24
4.0,220.508895605278,0,429,14,413,6,987,23,226,28
4.0,220.508895605278,1,707,13,413,4,25,26,343,31
4.0,220.508895605278,2,707,10,413,4,538,24,669,26
6.0,220.76378467209062,0,571,14,413,5,25,24,925,26
6.0,220.76378467209062,1,346,11,413,4,648,21,226,24
6.0,220.76378467209062,2,646,12,413,4,538,25,59,27
8.0,221.01896836845185,0,19,14,413,5,840,24,343,25
8.0,221.01896836845185,1,578,12,413,8,169,22,59,28
8.0,221.01896836845185,2,725,14,413,8,192,24,59,28
10.0,221.27444703492776,0,763,15,413,4,397,23,925,26
10.0,221.27444703492776,1,487,16,413,7,258,24,59,29
10.0,221.27444703492776,2,429,13,413,8,42,22,343,25
12.0,221.53022101247817,0,646,15,413,8,538,23,948,27
12.0,221.53022101247817,1,346,12,413,5,127,22,669,27
12.0,221.53022101247817,2,707,14,413,6,648,27,669,27
14.0,221.78629064245683,0,707,12,413,6,461,27,167,26
14.0,221.78629064245683,1,725,14,413,9,538,23,32,26
14.0,221.78629064245683,2,630,14,413,7,169,26,285,28
16.0,222.04265626661234,0,19,16,413,9,397,25,1006,30
16.0,222.04265626661234,1,725,15,413,11,397,25,948,26
16.0,222.04265626661234,2,487,14,413,10,42,26,59,29
18.0,222.29931822708804,0,725,15,413,12,131,26,59,28
18.0,222.29931822708804,1,571,13,413,6,538,22,948,25
18.0,222.29931822708804,2,646,17,413,8,42,27,298,28
20.0,222.55627686642296,0,571,14,413,6,538,21,343,26
20.0,222.55627686642296,1,646,13,413,7,871,28,59,33
20.0,222.55627686642296,2,429,17,413,6,25,25,59,32
22.0,222.81353252755198,0,19,15,413,6,840,24,167,30
22.0,222.81353252755198,1,346,10,110,5,461,22,285,28
22.0,222.81353252755198,2,725,13,413,9,987,23,59,29
24.0,223.0710855538064,0,19,14,413,6,266,22,226,26
24.0,223.0710855538064,1,578,15,413,7,42,27,298,31
24.0,223.0710855538064,2,725,13,413,8,127,21,877,30
26.0,223.32893628891446,0,469,13,413,6,944,21,285,24
26.0,223.32893628891446,1,19,12,413,6,855,23,285,26
26.0,223.32893628891446,2,571,14,413,10,642,20,669,22
28.0,223.58708507700157,0,84,14,413,6,42,21,669,21
28.0,223.58708507700157,1,725,9,413,10,449,25,769,28
28.0,223.58708507700157,2,707,9,413,6,66,20,669,24
30.0,223.84553226259098,0,707,9,413,5,642,16,669,15
30.0,223.84553226259098,1,725,8,413,7,627,23,570,27
30.0,223.84553226259098,2,763,13,413,6,538,20,925,24
32.0,224.10427819060433,0,763,11,413,5,25,21,948,21
32.0,224.10427819060433,1,725,7,413,8,450,18,769,21
32.0,224.10427819060433,2,646,10,413,8,258,17,311,22
34.0,224.36332320636168,0,84,7,413,4,992,15,285,14
34.0,224.36332320636168,1,578,8,413,6,840,15,402,23
34.0,224.36332320636168,2,487,9,413,6,258,12,343,16
36.0,224.62266765558255,0,707,7,413,5,849,14,226,15
36.0,224.62266765558255,1,469,5,413,3,390,11,669,9
36.0,224.62266765558255,2,763,5,413,5,397,12,1006,17
38.0,224.88231188438576,0,763,5,413,5,693,6,59,6
38.0,224.88231188438576,1,429,6,558,4,696,4,355,10
38.0,224.88231188438576,2,19,4,413,4,840,4,267,8
40.0,225.1422562392905,0,707,6,413,4,849,8,975,7
40.0,225.1422562392905,1,469,4,413,3,840,5,133,11
40.0,225.1422562392905,2,749,5,413,3,379,8,133,10
42.0,225.40250106721632,0,571,6,110,4,788,13,285,9
42.0,225.40250106721632,1,235,8,413,3,538,9,925,12
42.0,225.40250106721632,2,571,8,413,3,357,15,311,17
44.0,225.66304671548392,0,749,9,413,5,865,17,219,20
