codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
encodec,6.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,0,440.1137389863179,440.33996932967966,439.99999890643517,439.9999989203443,440.1137389863179,440.33996932967966,0.0,0.0,0,0.8896724002181318,5.472708211618874e-08,0.8896724002181318,5.472708211618874e-08,1.3371345819651372,-4.248038008234651e-06
encodec,6.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,1,440.1773039671564,439.93581661090144,439.99999890817907,439.99999891358925,440.1773039671564,439.93581661090144,0.0,0.0,0,-0.9500395671516892,2.1287153528899714e-08,-0.9500395671516892,2.1287153528899714e-08,-0.2525558493957995,-4.274616581728104e-06
encodec,6.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,2,440.0939345667058,439.92011610545285,439.99999891806067,439.9999989143099,440.0939345667058,439.92011610545285,0.0,0.0,0,-0.6838991767482251,-1.4757737423427693e-08,-0.6838991767482251,-1.4757737423427693e-08,-0.31434153182946956,-4.271780972648458e-06
encodec,6.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,3,440.16161187811144,440.3380750312701,439.9999989132737,439.9999989089345,440.16161187811144,440.3380750312701,0.0,0.0,0,0.6939219349786698,-1.7073045963346246e-08,0.6939219349786698,-1.7073045963346246e-08,1.3296869706005956,-4.292931275849563e-06
encodec,6.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,4,440.2285248770693,440.0842704366916,439.9999989199129,439.9999989139952,440.2285248770693,440.0842704366916,0.0,0.0,0,-0.5673851441798905,-2.3283785200484923e-08,-0.5673851441798905,-2.3283785200484923e-08,0.33154063690671487,-4.273019161063769e-06
encodec,6.0kbps,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,0,451.2295688687678,450.9250586453229,452.8929010465134,452.8929010391853,451.2295688687678,450.9250586453229,0.0,0.0,0,-1.1687098221509555,-2.8012427131366254e-08,-1.1687098221509555,-2.8012427131366254e-08,-7.538684769506195,3.972402496508183e-06
encodec,6.0kbps,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,1,450.23802081266876,450.6242670802699,452.8929010416567,452.8929010401568,450.23802081266876,450.6242670802699,0.0,0.0,0,1.48453929031544,-5.733684962127663e-09,1.48453929031544,-5.733684962127663e-09,-8.693897476242672,3.9761162929140605e-06
encodec,6.0kbps,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,2,450.5541008591439,450.70044458980686,452.8929010469178,452.8929010376845,450.5541008591439,450.70044458980686,0.0,0.0,0,0.5622279585655175,-3.529528915086247e-08,0.5622279585655175,-3.529528915086247e-08,-8.401259103212302,3.966665928475366e-06
encodec,6.0kbps,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,3,450.84606679909706,450.14309929646396,452.89290104897003,452.8929010538118,450.84606679909706,450.14309929646396,0.0,0.0,0,-2.701478705155472,1.8508245105402287e-08,-2.701478705155472,1.8508245105402287e-08,-10.543462993299912,4.028313949343033e-06
encodec,6.0kbps,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,4,450.69207006029745,451.0204301959776,452.8929010417582,452.89290105219743,450.69207006029745,451.0204301959776,0.0,0.0,0,1.2608636837386171,3.990534023168282e-08,1.2608636837386171,3.990534023168282e-08,-7.172564026149173,4.022142996677492e-06
