codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
encodec_ft_encodec_ftm_flat_s2,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,0,440.1381061996146,439.9652778453778,439.99999890643517,439.9999989203443,440.1381061996146,439.9652778453778,0.0,0.0,0,-0.679934518533012,5.472708211618874e-08,-0.679934518533012,5.472708211618874e-08,-0.13662397343078472,-4.248038008234651e-06
encodec_ft_encodec_ftm_flat_s2,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,1,440.0760870949743,440.04818185138737,439.99999890817907,439.99999891358925,440.0760870949743,440.04818185138737,0.0,0.0,0,-0.10978110606859699,2.1287153528899714e-08,-0.10978110606859699,2.1287153528899714e-08,0.1895670338794183,-4.274616581728104e-06
encodec_ft_encodec_ftm_flat_s2,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,2,439.8742071161215,439.9956664756177,439.99999891806067,439.9999989143099,439.8742071161215,439.9956664756177,0.0,0.0,0,0.47796745037987487,-1.4757737423427693e-08,0.47796745037987487,-1.4757737423427693e-08,-0.01705086797343089,-4.271780972648458e-06
encodec_ft_encodec_ftm_flat_s2,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,3,440.0181016691394,439.9380535219981,439.9999989132737,439.9999989089345,440.0181016691394,439.9380535219981,0.0,0.0,0,-0.3149749620148992,-1.7073045963346246e-08,-0.3149749620148992,-1.7073045963346246e-08,-0.2437531862262111,-4.292931275849563e-06
encodec_ft_encodec_ftm_flat_s2,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,4,440.12282730940336,440.00321206458284,439.9999989199129,439.9999989139952,440.12282730940336,440.00321206458284,0.0,0.0,0,-0.4705734784146473,-2.3283785200484923e-08,-0.4705734784146473,-2.3283785200484923e-08,0.012638216536760942,-4.273019161063769e-06
encodec_ft_encodec_ftm_flat_s2,3.0kbps,24000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,0,442.3957537151428,442.2564443711598,442.54889767669243,442.5488976862487,442.3957537151428,442.2564443711598,0.0,0.0,0,-0.5452472331427591,3.738398729911646e-08,-0.5452472331427591,3.738398729911646e-08,-1.1444532159500216,-9.05130493113519e-06
encodec_ft_encodec_ftm_flat_s2,3.0kbps,24000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,1,442.43905564203214,442.30490981841973,442.54889768516654,442.54889768237143,442.43905564203214,442.30490981841973,0.0,0.0,0,-0.5249831097445227,-1.0934383822566143e-08,-0.5249831097445227,-1.0934383822566143e-08,-0.9547432943347034,-9.066472643161878e-06
encodec_ft_encodec_ftm_flat_s2,3.0kbps,24000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,2,442.40718373639424,442.32198443492393,442.5488976830201,442.54889769041193,442.40718373639424,442.32198443492393,0.0,0.0,0,-0.33343521932922343,2.891656222733485e-08,-0.33343521932922343,2.891656222733485e-08,-0.8879125034948626,-9.035018582567662e-06
encodec_ft_encodec_ftm_flat_s2,3.0kbps,24000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,3,442.3250104315307,442.27911624739727,442.5488976852228,442.54889768177344,442.3250104315307,442.27911624739727,0.0,0.0,0,-0.17963645409502937,-1.3493793462072164e-08,-0.17963645409502937,-1.3493793462072164e-08,-1.0557053445139322,-9.068811977412807e-06
encodec_ft_encodec_ftm_flat_s2,3.0kbps,24000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,4,442.10049297496624,442.2936482248272,442.5488976859962,442.54889768073957,442.10049297496624,442.2936482248272,0.0,0.0,0,0.7562170192094819,-2.0563883893121383e-08,0.7562170192094819,-2.0563883893121383e-08,-0.9988230728914419,-9.072856367463596e-06
