codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
identity,uncoded,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,0,439.99999890643517,439.9999989203444,439.99999890643517,439.99999892034424,439.99999890643517,439.9999989203444,0.0,0.0,0,5.472746652736919e-08,5.472708211618874e-08,5.472746652736919e-08,5.472708211618874e-08,-4.248037623823469e-06,-4.2480382004402415e-06
identity,uncoded,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,1,439.999998908179,439.99999891358914,439.99999890817895,439.99999891358925,439.999998908179,439.99999891358914,0.0,0.0,0,2.128676911771926e-08,2.1287537940080165e-08,2.128676911771926e-08,2.1287537940080165e-08,-4.274616966139286e-06,-4.274616581728104e-06
identity,uncoded,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,0,452.89290104710545,452.8929010389427,452.89290104651326,452.8929010391853,452.89290104710545,452.8929010389427,0.0,0.0,0,-3.1203039929220475e-08,-2.801204272018579e-08,-3.1203039929220475e-08,-2.801204272018579e-08,3.971475296743047e-06,3.972402496508183e-06
identity,uncoded,24000,20260826,0.0,452.8929,452.8929,452.9Hz_+50c,1,452.89290104155464,452.89290104016885,452.8929010416567,452.89290104015686,452.89290104155464,452.89290104016885,0.0,0.0,0,-5.297378272306681e-09,-5.733492756537434e-09,-5.297378272306681e-09,-5.733492756537434e-09,3.9761624222556096e-06,3.9761166773252405e-06
identity,uncoded,24000,20260826,25.0,440.0,446.39994737251044,440Hz_ongrid,0,439.9999989194952,446.39994423170174,439.9999989194952,446.3999442315366,439.9999989194952,446.39994423170174,0.0,0.0,0,24.999992070653978,24.99999207001364,-7.929346022450545e-06,-7.929986360011299e-06,-1.2180725062157846e-05,-1.2181365298983404e-05
identity,uncoded,24000,20260826,25.0,440.0,446.39994737251044,440Hz_ongrid,1,439.99999891724457,446.39994423661443,439.9999989172445,446.39994423669464,439.99999891724457,446.39994423661443,0.0,0.0,0,24.999992098561858,24.999992098873314,-7.901438141999506e-06,-7.901126686249427e-06,-1.216167249068687e-05,-1.2161361502039696e-05
identity,uncoded,24000,20260826,25.0,452.8929,459.48037892132646,452.9Hz_+50c,0,452.8929010474305,459.48037988466166,452.89290104729764,459.4803798846705,452.8929010474305,459.48037988466166,0.0,0.0,0,24.99999962574175,24.9999996262832,-3.7425824928050133e-07,-3.737168015049974e-07,3.6296626419980658e-06,3.629695701359516e-06
identity,uncoded,24000,20260826,25.0,452.8929,459.48037892132646,452.9Hz_+50c,1,452.8929010387678,459.48037989062215,452.89290103877096,459.48037989056587,452.8929010387678,459.48037989062215,0.0,0.0,0,24.999999681313867,24.99999968108994,-3.186861334825153e-07,-3.189100610256901e-07,3.6521203275243603e-06,3.651908516964375e-06
identity,uncoded,24000,20260826,50.0,440.0,452.8929841231365,440Hz_ongrid,0,439.99999891380736,452.8929851780703,439.99999891380725,452.8929851779185,439.99999891380736,452.8929851780703,0.0,0.0,0,50.00000830636068,50.00000830578106,8.306360676613167e-06,8.305781058481898e-06,4.0326024404622366e-06,4.0320219795810975e-06
identity,uncoded,24000,20260826,50.0,440.0,452.8929841231365,440Hz_ongrid,1,439.99999891657944,452.8929851609259,439.99999891657956,452.8929851608548,439.99999891657944,452.8929851609259,0.0,0.0,0,50.000008229917064,50.000008229644806,8.229917064284109e-06,8.229644805624048e-06,3.9670661005133045e-06,3.966793937398164e-06
identity,uncoded,24000,20260826,50.0,452.8929,466.1636749299574,452.9Hz_+50c,0,452.89290104220885,466.16367301009626,452.8929010422528,466.1636730098967,452.89290104220885,466.16367301009626,0.0,0.0,0,49.99998888607813,49.99998888516911,-1.111392187169713e-05,-1.111483089033527e-05,-7.129961333784548e-06,-7.130702478543523e-06
identity,uncoded,24000,20260826,50.0,452.8929,466.1636749299574,452.9Hz_+50c,1,452.8929010371497,466.1636730090038,452.8929010371501,466.16367300896206,452.8929010371497,466.1636730090038,0.0,0.0,0,49.999988901360055,49.99998890120357,-1.1098639944862043e-05,-1.109879642768874e-05,-7.134018409399814e-06,-7.134173519311768e-06
identity,uncoded,24000,20260826,75.0,440.0,459.48046426806206,440Hz_ongrid,0,439.9999989129592,459.48046524509647,439.9999989129592,459.48046524496124,439.9999989129592,459.48046524509647,0.0,0.0,0,75.00000795837317,75.0000079578637,7.95837317468795e-06,7.957863701335555e-06,3.681277915500329e-06,3.680768186276126e-06
identity,uncoded,24000,20260826,75.0,440.0,459.48046426806206,440Hz_ongrid,1,439.99999891620257,459.4804652344504,439.9999989162025,459.4804652345602,439.99999891620257,459.4804652344504,0.0,0.0,0,75.0000079054992,75.00000790591332,7.905499202820465e-06,7.90591332133772e-06,3.64116537772675e-06,3.6415790041560528e-06
