codec,rate_label,sample_rate,stimulus,reference_hz,delta_cents,rep,f_in_hz,k,f_k_hz,peak_shift_cents,in_peak_cents,in_level_db,width_cents,zero_level_db,grid_level_db,second_cents,second_level_db,est8_cents,est2_cents
encodec,3.0kbps,24000,tone,440.0,-40.0,0,429.9504,1,429.95,-0.0024,-0.001,0.0,6.544,0.0,-43.631,nan,nan,19.9978,-0.0856
encodec,3.0kbps,24000,tone,440.0,-40.0,0,429.9504,2,859.901,-0.1664,-0.001,-6.02,3.272,-0.037,-25.095,-60.328,-14.119,19.9978,-0.0856
encodec,3.0kbps,24000,tone,440.0,-40.0,0,429.9504,3,1289.851,0.0323,0.0008,-9.54,2.12,-0.005,-9.055,45.943,-1.814,19.9978,-0.0856
encodec,3.0kbps,24000,tone,440.0,-40.0,0,429.9504,4,1719.802,39.8102,0.0004,-12.04,2.387,-5.757,-0.13,59.465,-1.016,19.9978,-0.0856
encodec,3.0kbps,24000,tone,440.0,-40.0,0,429.9504,5,2149.752,51.9636,0.0001,-13.98,1.359,-22.318,-21.667,56.091,-6.803,19.9978,-0.0856
encodec,3.0kbps,24000,tone,440.0,-40.0,0,429.9504,6,2579.702,43.2152,-0.0001,-15.56,1.258,-18.527,-33.344,-71.61,-1.067,19.9978,-0.0856
encodec,3.0kbps,24000,tone,440.0,-40.0,0,429.9504,7,3009.653,37.1955,-0.0002,-16.9,0.915,-33.849,-36.347,48.403,-10.741,19.9978,-0.0856
encodec,3.0kbps,24000,tone,440.0,-40.0,0,429.9504,8,3439.603,42.4232,-0.0003,-18.06,0.854,-20.786,-12.013,-92.948,-2.584,19.9978,-0.0856
encodec,3.0kbps,24000,tone,440.0,-40.0,0,429.9504,9,3869.553,63.969,0.0002,-19.09,0.711,-21.22,-10.071,37.787,-0.776,19.9978,-0.0856
encodec,3.0kbps,24000,tone,440.0,-40.0,0,429.9504,10,4299.504,34.0183,0.0001,-20.0,0.642,-29.947,-27.287,4.168,-6.9,19.9978,-0.0856
encodec,3.0kbps,24000,tone,440.0,-40.0,0,429.9504,11,4729.454,52.4759,0.0,-20.83,0.577,-28.769,-26.215,85.93,-8.864,19.9978,-0.0856
encodec,3.0kbps,24000,tone,440.0,-40.0,0,429.9504,12,5159.405,-98.1613,-0.0001,-21.58,0.577,-39.215,-22.491,-45.702,-5.865,19.9978,-0.0856
encodec,3.0kbps,24000,tone,440.0,40.0,0,450.2845,1,450.285,-0.0547,0.0012,0.0,6.424,0.0,-26.896,nan,nan,-20.4475,0.1104
encodec,3.0kbps,24000,tone,440.0,40.0,0,450.2845,2,900.569,0.3122,0.0012,-6.02,3.035,-0.144,-41.504,-4.911,-13.728,-20.4475,0.1104
encodec,3.0kbps,24000,tone,440.0,40.0,0,450.2845,3,1350.854,0.1121,-0.0005,-9.54,2.522,-0.02,-22.847,-9.02,-8.06,-20.4475,0.1104
encodec,3.0kbps,24000,tone,440.0,40.0,0,450.2845,4,1801.138,-39.1394,-0.0001,-12.04,2.205,-3.281,-1.789,-0.812,-0.691,-20.4475,0.1104
encodec,3.0kbps,24000,tone,440.0,40.0,0,450.2845,5,2251.423,-31.2842,0.0002,-13.98,4.816,-15.352,-10.913,-35.224,-11.681,-20.4475,0.1104
encodec,3.0kbps,24000,tone,440.0,40.0,0,450.2845,6,2701.707,-24.3566,0.0003,-15.56,1.383,-14.569,-18.45,-50.906,-5.15,-20.4475,0.1104
encodec,3.0kbps,24000,tone,440.0,40.0,0,450.2845,7,3151.992,-42.8401,-0.0003,-16.9,1.018,-24.947,-38.471,-0.963,-11.99,-20.4475,0.1104
encodec,3.0kbps,24000,tone,440.0,40.0,0,450.2845,8,3602.276,-20.0571,-0.0001,-18.06,1.057,-15.82,-28.418,-18.4,-2.538,-20.4475,0.1104
encodec,3.0kbps,24000,tone,440.0,40.0,0,450.2845,9,4052.561,-17.8289,0.0,-19.08,0.869,-25.33,-20.618,61.746,-0.642,-20.4475,0.1104
encodec,3.0kbps,24000,tone,440.0,40.0,0,450.2845,10,4502.845,-44.4169,0.0002,-20.0,1.815,-30.211,-10.782,96.445,-1.121,-20.4475,0.1104
encodec,3.0kbps,24000,tone,440.0,40.0,0,450.2845,11,4953.13,-27.5406,-0.0002,-20.83,0.61,-29.431,-34.606,-68.56,-8.126,-20.4475,0.1104
encodec,3.0kbps,24000,tone,440.0,40.0,0,450.2845,12,5403.414,-25.3239,-0.0001,-21.58,0.566,-25.591,-17.146,-50.0,-6.401,-20.4475,0.1104
encodec,3.0kbps,24000,note,130.8128,-40.0,0,127.825,1,127.825,-0.4651,1.6875,0.0,29.775,-0.004,-17.333,44.146,-16.356,0.5128,0.216
