codec,rate_label,sample_rate,stimulus,reference_hz,delta_cents,rep,f_in_hz,k,f_k_hz,peak_shift_cents,in_peak_cents,width_cents,zero_level_db,grid_level_db,second_cents,second_level_db,est8_cents,est2_cents
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,1,107.488,0.3111,0.0045,25.801,-0.003,-29.176,-41.866,-19.677,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,2,214.975,-0.349,0.0045,13.276,-0.004,-21.175,20.447,-12.229,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,3,322.463,40.5581,-0.0028,9.003,-3.957,-0.924,0.907,-3.839,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,4,429.95,31.9731,-0.001,7.961,-6.078,-3.248,51.23,-5.254,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,5,537.438,63.9198,0.0001,5.399,-2.605,-11.156,0.588,-2.418,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,6,644.926,39.4817,0.0008,4.685,-17.776,-1.126,46.063,-3.178,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,7,752.413,-5.2712,0.0014,3.856,-21.787,-10.545,64.638,-5.441,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,8,859.901,-71.2206,-0.001,3.601,-9.69,-11.88,29.441,-4.751,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,9,967.388,36.3867,-0.0004,3.77,-14.985,-0.086,52.929,-2.314,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,10,1074.876,52.3932,0.0001,2.611,-22.298,-30.382,48.096,-0.267,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,11,1182.364,-85.978,0.0005,5.746,-23.361,-19.136,-94.82,-2.805,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,0,107.4876,12,1289.851,46.9926,0.0008,3.139,-10.104,-8.182,30.618,-1.243,15.8708,0.1184
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,1,107.488,0.0118,0.0045,26.544,0.0,-34.643,nan,nan,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,2,214.975,-0.3405,0.0045,12.721,-0.005,-36.654,-20.845,-16.877,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,3,322.463,-0.0458,-0.0028,9.093,-0.001,-12.748,-55.008,-11.204,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,4,429.95,-0.5946,-0.001,6.27,-0.114,-8.251,10.583,-6.323,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,5,537.438,0.3136,0.0001,5.602,-0.039,-15.867,55.216,-1.44,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,6,644.926,0.4579,0.0008,4.668,-0.127,-2.78,39.589,-1.692,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,7,752.413,34.3035,0.0014,4.543,-12.674,-16.5,22.528,-1.584,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,8,859.901,-46.0896,-0.001,3.266,-17.375,-17.855,-5.152,-4.981,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,9,967.388,-63.6505,-0.0004,8.151,-14.563,-13.559,13.593,-1.553,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,10,1074.876,28.0776,0.0001,2.358,-24.554,-20.1,47.737,-8.56,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,11,1182.364,25.6351,0.0005,2.146,-24.395,-20.994,-86.098,-6.939,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,1,107.4876,12,1289.851,23.5203,0.0008,2.091,-17.593,-18.639,-78.636,-1.126,-1.9567,-0.1474
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,1,107.488,-0.0934,0.0045,26.544,0.0,-31.579,nan,nan,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,2,214.975,-0.1054,0.0045,12.535,0.0,-15.896,-84.11,-14.835,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,3,322.463,0.0106,-0.0028,7.742,0.0,-2.063,40.13,-1.542,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,4,429.95,39.6611,-0.001,7.298,-6.054,-0.03,0.109,-6.05,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,5,537.438,60.7358,0.0001,11.971,-6.932,-18.136,1.325,-6.412,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,6,644.926,37.7914,0.0008,4.749,-26.759,-0.029,45.524,-7.972,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,7,752.413,77.8505,0.0014,7.559,-12.446,-11.091,94.414,-0.236,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,8,859.901,-70.7314,-0.001,4.895,-31.015,-17.098,-56.087,-6.509,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,9,967.388,28.2319,-0.0004,5.278,-29.76,-9.546,43.049,-9.929,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,10,1074.876,50.3617,0.0001,5.876,-16.758,-15.567,-52.625,-5.292,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,11,1182.364,7.6628,0.0005,3.604,-12.134,-8.762,25.408,-1.09,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-40.0,2,107.4876,12,1289.851,36.7369,0.0008,3.939,-21.61,-1.754,23.875,-5.712,15.0359,-0.0599
encodec,1.5kbps,24000,tone,110.0,-20.0,0,108.7365,1,108.737,-0.3538,-0.0049,25.881,-0.003,-8.274,nan,nan,5.2311,-0.095
encodec,1.5kbps,24000,tone,110.0,-20.0,0,108.7365,2,217.473,0.3629,-0.0049,12.934,-0.005,-30.505,-29.317,-11.285,5.2311,-0.095
encodec,1.5kbps,24000,tone,110.0,-20.0,0,108.7365,3,326.21,18.2472,0.0023,9.856,-6.048,-0.003,0.083,-6.043,5.2311,-0.095
encodec,1.5kbps,24000,tone,110.0,-20.0,0,108.7365,4,434.946,0.5709,0.0005,6.83,-0.085,-4.894,29.261,-1.062,5.2311,-0.095
encodec,1.5kbps,24000,tone,110.0,-20.0,0,108.7365,5,543.683,0.3824,-0.0006,5.319,-0.059,-18.819,47.598,-4.875,5.2311,-0.095
encodec,1.5kbps,24000,tone,110.0,-20.0,0,108.7365,6,652.419,19.2533,-0.0013,4.565,-13.072,-0.889,10.135,-10.095,5.2311,-0.095
encodec,1.5kbps,24000,tone,110.0,-20.0,0,108.7365,7,761.156,59.7492,0.0012,8.647,-7.277,-22.402,84.111,-0.244,5.2311,-0.095
encodec,1.5kbps,24000,tone,110.0,-20.0,0,108.7365,8,869.892,-91.6943,0.0005,3.698,-11.129,-30.038,-68.393,-10.166,5.2311,-0.095
encodec,1.5kbps,24000,tone,110.0,-20.0,0,108.7365,9,978.629,12.9995,-0.0001,3.818,-37.382,-8.178,-6.326,-3.941,5.2311,-0.095
encodec,1.5kbps,24000,tone,110.0,-20.0,0,108.7365,10,1087.365,29.705,-0.0006,2.543,-30.399,-20.3,12.139,-19.141,5.2311,-0.095
