codec,rate_label,stimulus,sample_rate,n_tones,n_partials,edge_hz,edge_first_fk_hz,first_cross_hz,frac_flat_below,frac_shifted_above,n_shifted,grid_fraction,est8_m40,est8_p40,est2_m40,est2_p40,est8_toward_grid,est2_toward_grid,h1_max_abs_shift
dac,Q6,tone,16000,60,657,4400.0000,4502.8450,3800.0000,0.8750,0.3768,63,0.8495,0.0253,-0.9593,-0.0181,-0.2226,0.1142,0.0188,0.8804
dac,Q8,tone,24000,60,717,6000.0000,6089.2460,4200.0000,0.8631,0.6812,86,0.6375,-0.0326,-0.2031,0.0009,-0.0338,-0.0055,0.0056,0.4569
dac_ft_dac_ftm_flat_s0,Q6,tone,16000,60,657,nan,nan,nan,nan,nan,7,0.7276,-0.0026,-0.1893,0.0074,-0.0683,0.0539,0.0173,0.7581
dac_ft_dac_ftm_grid_s0,Q6,tone,16000,60,657,nan,nan,nan,nan,nan,10,0.5870,-0.0268,-0.3170,-0.0029,-0.2463,0.0839,0.0277,0.8834
encodec,1.5kbps,tone,24000,60,717,1600.0000,1719.8020,600.0000,0.4203,0.8721,398,0.9854,15.4534,-17.4461,-0.0435,-0.0203,16.3806,-0.0435,2.2019
encodec,12.0kbps,tone,24000,60,717,2000.0000,2003.0060,2000.0000,0.9843,0.8471,221,1.0131,0.0186,-3.5267,-0.0111,0.0337,0.5654,-0.0188,0.4357
encodec,24.0kbps,tone,24000,60,717,2000.0000,2003.0060,2000.0000,0.9906,0.8549,220,1.0065,0.0097,-2.9205,-0.0052,-0.0072,0.0137,-0.0032,0.2101
encodec,3.0kbps,tone,24000,60,717,1600.0000,1719.8020,1000.0000,0.6341,0.8519,343,0.9958,6.5002,-12.3186,-0.0529,0.0421,9.9653,-0.0529,1.6674
encodec,6.0kbps,tone,24000,60,717,1800.0000,1801.1380,1800.0000,0.9670,0.8481,239,1.0012,3.9426,-4.1871,-0.0191,0.1696,4.1871,-0.0415,1.0998
encodec,6.0kbps,tone,48000,120,1440,3000.0000,3009.6530,3000.0000,0.9167,0.9500,400,0.9406,2.8078,-1.2444,0.0024,-0.0780,1.3418,0.0232,0.5546
encodec_bypass,no-quantiser,tone,24000,60,717,2000.0000,2003.0060,2000.0000,0.9906,0.8588,221,1.0007,0.0060,-2.2184,0.0014,-0.0000,0.0095,0.0014,0.1658
encodec_ft_encodec_ftm_flat_s0,3.0kbps,tone,24000,60,717,1000.0000,1001.5030,1000.0000,0.9194,0.7287,291,0.8562,0.8190,-1.5735,-0.0353,0.1725,1.2469,-0.0510,1.5211
encodec_ft_encodec_ftm_grid_s0,3.0kbps,tone,24000,60,717,1600.0000,1719.8020,1000.0000,0.7283,0.7980,302,0.9006,0.9334,-3.8150,-0.0403,0.1376,2.1444,-0.0415,1.5824
mimi,Q8,tone,24000,60,717,3800.0000,3869.5530,1200.0000,0.4907,0.8794,278,0.6523,0.0052,-0.5734,0.0212,-0.2213,0.1754,0.1491,0.9369
snac,32khz,tone,32000,60,720,5400.0000,5403.4140,1400.0000,0.6245,0.7436,138,0.5650,0.4269,-0.0977,-0.0490,-0.0078,0.1275,-0.0294,1.5846
