codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,0,440.13591683776144,439.90803988065255,439.99999890643517,439.9999989203443,440.13591683776144,439.90803988065255,0.0,0.0,0,-0.8965651157536185,5.472708211618874e-08,-0.8965651157536185,5.472708211618874e-08,-0.36186620222663923,-4.248038008234651e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,1,439.8496478986006,439.9891487171192,439.99999890817907,439.99999891358925,439.8496478986006,439.9891487171192,0.0,0.0,0,0.5489836771115842,2.1287153528899714e-08,0.5489836771115842,2.1287153528899714e-08,-0.042696231942483356,-4.274616581728104e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,2,440.10001523928673,439.959419913575,439.99999891806067,439.9999989143099,440.10001523928673,439.959419913575,0.0,0.0,0,-0.5531522244067846,-1.4757737423427693e-08,-0.5531522244067846,-1.4757737423427693e-08,-0.159674698157624,-4.271780972648458e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,3,440.1570751417305,439.75006668050275,439.9999989132737,439.9999989089345,440.1570751417305,439.75006668050275,0.0,0.0,0,-1.601593902580645,-1.7073045963346246e-08,-1.601593902580645,-1.7073045963346246e-08,-0.9836727514748517,-4.292931275849563e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,0.0,440.0,440.0,440Hz_ongrid,4,440.16324789990273,439.90364298884987,439.9999989199129,439.9999989139952,440.16324789990273,439.90364298884987,0.0,0.0,0,-1.0213698049740996,-2.3283785200484923e-08,-1.0213698049740996,-2.3283785200484923e-08,-0.3791700160930504,-4.273019161063769e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,0,441.87655065619265,441.5131787965355,442.54889767669243,442.5488976862487,441.87655065619265,441.5131787965355,0.0,0.0,0,-1.4242451557160332,3.738398729911646e-08,-1.4242451557160332,3.738398729911646e-08,-4.056449600387233,-9.05130493113519e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,1,441.8831523561987,441.49983370780524,442.54889768516654,442.54889768237143,441.8831523561987,441.49983370780524,0.0,0.0,0,-1.5024385750238045,-1.0934383822566143e-08,-1.5024385750238045,-1.0934383822566143e-08,-4.108778324137071,-9.066472643161878e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,2,441.89683742436745,441.607908179296,442.5488976830201,442.54889769041193,441.89683742436745,441.607908179296,0.0,0.0,0,-1.1323180031789282,2.891656222733485e-08,-1.1323180031789282,2.891656222733485e-08,-3.6850424718978507,-9.035018582567662e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,3,441.72280143214664,441.36241814052545,442.5488976852228,442.54889768177344,441.72280143214664,441.36241814052545,0.0,0.0,0,-1.413018462944915,-1.3493793462072164e-08,-1.413018462944915,-1.3493793462072164e-08,-4.647703870833864,-9.068811977412807e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,0.0,442.5489,442.5489,442.5Hz_+10.0c,4,441.50252082676366,441.62031231924374,442.5488976859962,442.54889768073957,441.50252082676366,441.62031231924374,0.0,0.0,0,0.4618262285321379,-2.0563883893121383e-08,0.4618262285321379,-2.0563883893121383e-08,-3.6364152452536604,-9.072856367463596e-06
