codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
speechtokenizer,Q8,16000,20260826,0.0,220.0,220.0,220Hz_ongrid,0,219.96792876578246,220.12184281532512,219.99999879208616,219.99999878834686,219.96792876578246,220.12184281532512,0.0,0.0,0,1.2109404547375837,-2.9425522630752532e-08,1.2109404547375837,-2.9425522630752532e-08,0.9585456362012431,-9.534796366100985e-06
speechtokenizer,Q8,16000,20260826,0.0,220.0,220.0,220Hz_ongrid,1,220.01099176245478,219.96589282676706,219.99999880390484,219.99999879071606,220.01099176245478,219.96589282676706,0.0,0.0,0,-0.35491325134323837,-1.0378582917577809e-07,-0.35491325134323837,-1.0378582917577809e-07,-0.2684185328875225,-9.516152423746202e-06
speechtokenizer,Q8,16000,20260826,0.0,220.0,220.0,220Hz_ongrid,2,219.97313271647738,219.91271508378168,219.9999987846712,219.99999879766546,219.97313271647738,219.91271508378168,0.0,0.0,0,-0.4755645768900855,1.0225491164347417e-07,-0.4755645768900855,1.0225491164347417e-07,-0.6870027427205502,-9.461465896708951e-06
speechtokenizer,Q8,16000,20260826,0.0,220.0,220.0,220Hz_ongrid,3,219.89643697070815,220.80343884856302,219.9999987990097,219.99999877601812,219.89643697070815,220.80343884856302,0.0,0.0,0,7.126095725054769,-1.8092638958694685e-07,7.126095725054769,-1.8092638958694685e-07,6.310940925976798,-9.631814252567559e-06
speechtokenizer,Q8,16000,20260826,0.0,226.4,226.4,226.4Hz_+49.6c,0,226.18761279625238,226.53754512361763,226.39999817540456,226.39999817897746,226.18761279625238,226.53754512361763,0.0,0.0,0,2.676303139126198,2.732125582846093e-08,2.676303139126198,2.732125582846093e-08,1.0514597925180778,-1.3924983502823694e-05
speechtokenizer,Q8,16000,20260826,0.0,226.4,226.4,226.4Hz_+49.6c,1,226.3464734831041,226.3272850556207,226.3999980633519,226.39999817328547,226.3464734831041,226.3272850556207,0.0,0.0,0,-0.14677086268219933,8.406392106781504e-07,-0.14677086268219933,8.406392106781504e-07,-0.5561254769634809,-1.3968508843492846e-05
speechtokenizer,Q8,16000,20260826,0.0,226.4,226.4,226.4Hz_+49.6c,2,226.45480323395387,226.48046692271268,226.39999816714692,226.39999821499248,226.45480323395387,226.48046692271268,0.0,0.0,0,0.1961863196746214,3.658652630179445e-07,0.1961863196746214,3.658652630179445e-07,0.6152046204876058,-1.3649584027138065e-05
speechtokenizer,Q8,16000,20260826,0.0,226.4,226.4,226.4Hz_+49.6c,3,226.48227641027773,226.50432513924048,226.39999806984468,226.3999980280372,226.48227641027773,226.50432513924048,0.0,0.0,0,0.1685326242257932,-3.1969325179015597e-07,0.1685326242257932,-3.1969325179015597e-07,0.7975690511040847,-1.5079192497235978e-05
speechtokenizer,Q8,16000,20260826,5.0,220.0,220.63630333126076,220Hz_ongrid,0,220.0027713129803,220.68876697146914,219.99999876849608,220.6363000868829,220.0027713129803,220.68876697146914,0.0,0.0,0,5.389801698288857,4.999984233829743,0.38980169828885725,-1.5766170257336398e-05,0.41160970362381066,-2.545717719999914e-05
speechtokenizer,Q8,16000,20260826,5.0,220.0,220.63630333126076,220Hz_ongrid,1,220.00195937203236,220.68670976565377,219.99999879794913,220.63630003625957,220.00195937203236,220.68670976565377,0.0,0.0,0,5.380052783805773,4.9999836048379045,0.38005278380577323,-1.6395162095506066e-05,0.3954714950410691,-2.585439581364277e-05
